"Claart","Desart","iva","Costo","CosPro","Ex","Min","Max","Clauni","Numcla","Clalin","Clapro","imp2","Estado","DescMax","BarCode","FecAltart","FecUltCom","FecUltven","AcuMon","Acucan","Peso","Precios","claubi","Equivale","poraum","descuenta","presenta","obsart","depto","despa","monfon","poruti","flete","fraccion","feccam","descuento","feccampre","Volumen","barcja","barpza","unitar","barfar","negar","especial","claalt","feccad","ubicacion","unaen","fecbaj","frical","claproser","claunidsat","clafam","pteorico","numuser","nusermod","objimp"
"0118592","Tornillo de banco truper 18592","16","1058.06","1058.06","0","0","0","5","0","0","THE7911","0","yes","0","","22/04/23","22/04/23","","0","0","0","1636.46613","0","0","0","yes","","","no","no","0","0","0","no","22/04/23","0","","0","","","0","","no","no","","","","","","no","31161500","H87","0","0","0","0","02"
"01301915","Andamio completo","16","2800","2800","0","0","0","1","5","1","FAR88","0","yes","0","","20/06/23","23/06/23","","0","0","0","4330.66667","0","0","0","yes","","","no","no","0","0","0","no","23/06/23","0","","0","","","0","","no","no","","","","","","no","30191609","H87","0","0","0","0","02"
"01ACC","Acelerante concreto","16","25.37931","25.37321","394","14","140","2","0","0","IGA91","0","yes","0","","01/06/12","13/03/23","","-485.27","-491","0","39.3","1","0","0","yes","","","no","no","0","0","0","no","13/03/23","0","","28","000000","","0","","no","no","","","","","","no","12162305","LTR","0","0","0","0","02"
"01ADN","Adoquin Natural 6x10x20","16","11.6366","8.3913","991","500","500","5","0","0","LME56","0","yes","0","","01/06/12","04/08/21","","-21.55","-95","0","18","1","0","0","yes","","","no","no","0","0","0","no","04/08/21","0","","300","000000","","0","","no","no","","","","","","no","30171701","H87","0","0","0","0","02"
"01AG","Agrimycu 500","0","206.43","206.43","6","0","0","1","0","0","","0","yes","0","","01/10/16","31/03/19","","0","0","0","275.24","0","0","0","yes","","","no","no","0","0","0","no","01/10/16","0","","0","000000","","0","","no","no","","","","","","no","10191500","KGM","0","0","0","0","02"
"01AGR","Agribon 1.6 m","0","8","8","0","0","0","4","0","0","YIRJ75","0","yes","0","","06/10/15","06/10/15","","0","0","0","10.66667","0","0","0","yes","","","no","no","0","0","0","no","06/10/15","0","","0","000000","","0","","no","no","","","","","","no","31261601","LM","0","0","0","0","02"
"01AL","Agitadores p/leche","16","280","280","0","0","0","5","0","0","PERF85","0","yes","0","","28/11/16","28/11/16","","0","0","0","433.06667","0","0","0","yes","","","no","no","0","0","0","no","28/11/16","0","","0","000000","","0","","no","no","","","","","","no","52151505","H87","0","0","0","0","02"
"01ALAM","Alambron","16","15.38","15.99548","5687.914","0","0","1","0","0","","0","yes","0","","01/06/12","02/09/23","","-5991.32","-26236.73","0","36","1","0","0","yes","","","no","no","0","0","0","no","16/08/23","0","","0","000000","","0","","no","no","","","","","","no","30264400","KGM","0","0","0","0","02"
"01ALAM55","Alambron 5.5 mm","16","10.9","10.9","0","0","0","1","0","0","MRS53","0","yes","0","","18/04/23","18/04/23","","0","0","0","16.85867","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30264400","KGM","0","0","0","0","02"
"01ALREC","Alambre recocido","16","15.35","16.03553","7111.674","0","0","1","0","0","","0","yes","0","","01/06/12","06/10/23","","-20810.29","-28589.67","0","38","1","0","0","yes","","","no","no","0","0","0","no","25/09/23","0","","0","000000","","0","","no","no","","","","","","no","30265700","KGM","0","0","0","0","02"
"01ANCO","Andamio completo","16","0","0","0","0","0","5","0","0","","0","yes","0","","23/06/23","","","0","0","0","0","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30191502","H87","0","0","0","0","02"
"01ANDT0","Anillo para tutoreo","0",".5",".5","750","0","0","5","0","0","","0","yes","0","","25/10/14","31/03/19","","0","0","0",".66667","0","0","0","yes","","","no","no","0","0","0","no","12/10/16","0","","0","000000","","0","","no","no","","","","","","no","31162419","H87","0","0","0","0","02"
"01ANQ","Anaquel de 4 entrepaños inox 100x45x200cms","16","5576.5","5576.5","0","0","0","5","0","0","ITA13","0","yes","0","","15/10/16","17/10/16","","0","0","0","8624.98667","0","0","0","yes","","","no","no","0","0","0","no","17/10/16","0","","0","000000","","0","","no","no","","","","","","no","56101518","H87","0","0","0","0","02"
"01AR","Arena","16","620.7","620.7","0","0","0","9","0","0","","0","yes","0","","20/02/13","22/04/21","","-1685.25","-69","0","960.016","0","0","0","yes","","","no","no","0","0","0","no","03/04/17","0","","0","000000","","0","","no","no","","","","","","no","11111611","MTQ","0","0","0","0","02"
"01AR516H","Armex 15x20x4 v 5/16 Hoja","16","185.555","185.555","0","0","0","5","0","0","TDM99","0","yes","0","","27/01/23","29/06/23","","0","0","0","320","0","0","0","yes","","","no","no","0","0","0","no","29/06/23","0","","0","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARCRI","Arena Cribada en Costal","16","77.58621","77.58621","77","5","25","9","0","0","OESM9709038W6","0","yes","0","","21/10/21","18/09/23","","-386.21","-13","0","120","0","0","0","yes","","","no","no","0","0","0","no","18/09/23","0","","7","","","0","","no","no","","","","","","no","11111700","MTK","0","0","0","0","02"
"01ARE","Arena #5","16","448.27586","427.97613","53","2.5","90","9","0","0","OESM9709038W6","0","yes","0","","01/06/12","09/11/23","","-68127.97","-496.3","0","693.33333","1","0","0","yes","","","no","no","0","0","0","no","09/11/23","0","","12.17647","000000","","0","","no","no","","","","","","no","11111700","MTQ","0","0","0","0","02"
"01ARE4","Arena no. 4","16","327.58621","295.25863","6","2.5","10","9","0","0","OESM9709038W6","0","yes","0","","01/06/12","08/11/23","","-9075","-301.5","0","506.66667","1","0","0","yes","","","no","no","0","0","0","no","08/11/23","0","","3","000000","","0","","no","no","","","","","","no","11111611","MTQ","0","0","0","0","02"
"01ARECARR","Arena #5 Carretilla","16","86.207","86.207","4","0","0","5","0","0","OESM9709038W6","0","yes","0","","23/08/18","30/09/23","","-232.76","-7","0","133.33349","1","0","0","yes","","","no","no","0","0","0","no","30/09/23","0","","0","000000","","0","","no","no","","","","","","no","11111700","MTQ","0","0","0","0","02"
"01ARECOS","Arena en costal","16","491.37933","491.37932","1.5","2.5","7.5","9","0","0","OESM9709038W6","0","yes","0","","20/04/21","10/11/23","","-2008.61","-6","0","760.00003","0","0","0","yes","","","no","no","0","0","0","no","10/11/23","0","","3","","","0","","no","no","","","","","","no","11111700","MTQ","0","0","0","0","02"
"01ARM12124M","Armex 12X12X4 metros","16","13.3732","13.3732","0","0","0","4","0","0","","0","yes","0","","30/09/19","30/09/19","","0","0","0","20.68388","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30111903","MTR","0","0","0","0","02"
"01ARM1212M","Armex 12X12X3 metros","16","14.07","14.07","0","0","0","4","0","0","","0","yes","0","","30/09/19","30/09/19","","0","0","0","21.7616","0","0","0","yes","","","no","no","0","0","0","no","","0","","0","","","0","","no","no","","","","","","no","30111903","MTR","0","0","0","0","02"
"01ARM12204","Armex 12x20x4","16","132.396","140.44003","577","7","140","5","0","0","MRS53","0","yes","0","","01/06/12","29/04/23","","-9796.19","-864","0","160","1","0","0","yes","","","no","no","0","0","0","no","28/07/17","0","","16","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
"01ARM12204H","Armex 12x20x4 Hoja","16","132.396","132.396","0","0","0","5","0","0","TDM99","0","yes","0","","30/03/19","04/04/23","","0","0","0","204.77248","0","0","0","yes","","","no","no","0","0","0","no","04/04/23","0","","0","000000","","0","","no","no","","","","","","no","30111903","H87","0","0","0","0","02"
