"Clacli","Fecncre","Monto","Estado","Miva","MImp2","MDes","Mcosto","Piva","Pimp2","PDes","Nummov","Nncre","Numfac","facreal","Mfondo","TipoNC","Claven","Clazon","hora","numaprfol","numcer","perapr","cladep","Numuser","Refori","impreso","metpagele","bancosele","cuentaele","imprcan","Tpeso","usocfdi","periodo","mes","ano","frem","pagada","observa","nusercan","paga","objimp","version"
"API14","07/04/16","37500","yes","32327.59","0","0","0","16","0","0","58858","ZID00001","ZI000054","","0","no","","0","61202","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"API14","07/04/16","7500","yes","6465.52","0","0","0","16","0","0","58862","ZID00002","ZI000056","","0","no","","0","61203","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"API14","07/04/16","7500","yes","6465.52","0","0","0","16","0","0","58866","ZID00003","ZI000059","","0","no","","0","61203","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"API14","07/04/16","37500","yes","32327.59","0","0","0","16","0","0","50692","ZID00004","ZI000060","","0","no","","0","61203","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"API14","07/04/16","46080","yes","39724.14","0","0","0","16","0","0","54176","ZID00005","ZI000074","","0","no","","0","61203","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"API14","07/04/16","6250","yes","5387.93","0","0","0","16","0","0","54180","ZID00006","ZI000080","","0","no","","0","61203","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"API14","07/04/16","50000","yes","43103.45","0","0","0","16","0","0","54184","ZID00007","ZI000147","","0","no","","0","61203","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"API14","09/04/16","50400","yes","43448.28","0","0","0","16","0","0","85846","ZID00008","ZI000063","","0","no","","0","50116","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"API14","09/04/16","50400","yes","43448.28","0","0","0","16","0","0","85858","ZID00009","ZI000083","","0","no","","0","50116","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"JME00","04/05/16","91766","yes","79108.62","0","0","0","16","0","0","92031","ZID00010","ZI000409","","0","no","","0","37879","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"PAP07","13/05/16","1800","yes","1551.72","0","0","0","16","0","0","94213","ZID00011","ZI000399","","0","no","","0","36034","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"SES08","20/05/16","85","yes","73.28","0","0","0","16","0","0","95519","ZID00012","ZI000568","","0","no","","0","31273","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"UAS23","20/05/16","37200","yes","32068.97","0","0","0","16","0","0","95736","ZID00013","ZI000092","","0","no","","0","56635","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"GASC76","27/05/16","5538","yes","4774.14","0","0","0","16","0","0","98055","ZID00014","ZI000511","","0","no","","0","48658","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"COE05","06/06/16","10000","yes","8620.69","0","0","0","16","0","0","100310","ZID00015","ZI000696","","0","no","","0","29427","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"RACG68","07/06/16","123","yes","106.03","0","0","0","16","0","0","101443","ZID00016","ZI000744","","0","no","","0","46095","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"SES08","11/06/16","1397","yes","1204.31","0","0","0","16","0","0","103009","ZID00017","ZI000738","","0","no","","0","47772","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"SAK96","16/06/16","1055.28","yes","909.72","0","0","0","16","0","0","104353","ZID00018","ZI000390","","0","no","","0","33543","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"UAS23","22/06/16","30000","yes","25862.07","0","0","0","16","0","0","106282","ZID00019","ZI000600","","0","no","","0","47856","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"RODH66","02/07/16","10854","yes","9356.9","0","0","0","16","0","0","110063","ZID00020","ZI000505","","0","no","","0","49601","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
"LOCC76","11/07/16","14483.52","yes","12485.79","0","0","0","16","0","0","112643","ZID00021","ZI001173","","0","no","","0","56362","","00001000000300171291","2015","10","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","no","no","","0","","",""
