"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncre","Numfac","Tipo","canfon","observacion","Clauni"
"1","04HBISPR100","2.1","8","0","yes","1.25","16","0","36736","0","00005148","DPQ01847","yes","0","","0"
"2","0614687","19","1","0","yes","12.405","16","0","36736","0","00005148","DPQ01847","yes","0","","0"
"3","06GAR20","127.7","4","0","yes","99.14","16","0","36736","0","00005148","DPQ01847","yes","0","","0"
"1","0624069","590.5","1","0","yes","383.0904","16","0","37334","0","00005149","DPQ01847","yes","0","","0"
"1","04HPPB141","1","100","0","yes",".711","16","0","37411","0","00005150","DPQ01847","yes","0","","0"
"2","0549365","36.9","3","0","yes","27","16","0","37411","0","00005150","DPQ01847","yes","0","","0"
"3","05LLAIPL","68.7","1","0","yes","50.35","16","0","37411","0","00005150","DPQ01847","yes","0","","0"
"4","06CINT12","3.5","1","0","yes","2.554","16","0","37411","0","00005150","DPQ01847","yes","0","","0"
"5","06FRANE","13.7","1","0","yes","8.933","16","0","37411","0","00005150","DPQ01847","yes","0","","0"
"6","06PES300T","64","1","0","yes","46.93","16","0","37411","0","00005150","DPQ01847","yes","0","","0"
"7","06PINESMAZ1","120","2","0","yes","87.86","16","0","37411","0","00005150","DPQ01847","yes","0","","0"
"8","06T501","23.5","4","0","yes","17.16","16","0","37411","0","00005150","DPQ01847","yes","0","","0"
"1","03LAMPOLICA1020","2546.6","2","0","yes","1866.6","16","0","38924","0","00005151","DPQ01847","yes","0","","0"
"2","06PES300T","64","2","0","yes","46.93","16","0","38924","0","00005151","DPQ01847","yes","0","","0"
"1","0616705","132","1","0","yes","87.56","16","0","39187","0","00005152","DPQ01847","yes","0","","0"
"1","03LA10126500","800","3","0","yes","491.9","16","0","51312","0","00002779","ZI009387","yes","0","","0"
"1","01CEMCAZ50","156","400","0","yes","110.77598","16","0","51316","0","00002780","ZI009387","yes","0","","0"
"1","04CORTMM","3510","1","0","yes","2291.72","16","0","52077","0","00002781","ZI009387","yes","0","","0"
"2","04HDCM14","64","3","0","yes","41.93","16","0","52077","0","00002781","ZI009387","yes","0","","0"
"1","01TRIPL58","550","58","0","yes","417.39429","16","0","52083","0","00002782","ZI009387","yes","0","","0"
"1","01ALAM","18","200","0","yes","10","16","0","52088","0","00002783","ZI009387","yes","0","","0"
"2","01ALREC","23","50","0","yes","14","16","0","52088","0","00002783","ZI009387","yes","0","","0"
"3","01VAR38","98","25","0","yes","70.039","16","0","52088","0","00002783","ZI009387","yes","0","","0"
"1","05ABRU12","1","30","0","yes",".73","16","0","53720","0","00005163","DPQ01847","yes","0","","0"
