"Clacli","Fecncre","Monto","Estado","Miva","MImp2","MDes","Mcosto","Piva","Pimp2","PDes","Nummov","Nncre","Numfac","facreal","Mfondo","TipoNC","Claven","Clazon","hora","numaprfol","numcer","perapr","cladep","Numuser","Refori","impreso","metpagele","bancosele","cuentaele","imprcan","Tpeso","usocfdi","frem","pagada","observa","nusercan","enviado","objimp","version"
"MRS2043","02/03/19","4728","yes","4075.86","0","0","0","16","0","0","748321","ZINE0001","ZINS0001","","0","no","","0","46381","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G03-Gastos en general","no","no","","0","","",""
"PSP14","06/03/19","6000","yes","5172.41","0","0","0","16","0","0","838280","ZINE0002","ZINS0002","","0","no","","0","29977","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G01-Adquisición de mercancias","no","no","","0","","",""
"PSP14","06/03/19","31102","yes","26812.07","0","0","0","16","0","0","838294","ZINE0003","ZINS0003","","0","no","","0","30274","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G01-Adquisición de mercancias","no","no","","0","","",""
"PSP14","06/03/19","31102","yes","26812.07","0","0","0","16","0","0","838309","ZINE0004","ZINS0004","","0","no","","0","30358","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G01-Adquisición de mercancias","no","no","","0","","",""
"MRS818","06/03/19","2480","yes","2137.93","0","0","0","16","0","0","838865","ZINE0005","ZINS0005","","0","no","","0","52028","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","P01-Por definir","no","no","","0","","",""
"MRS2043","08/03/19","6477.5","yes","5584.05","0","0","0","16","0","0","843241","ZINE0006","ZINS0006","","0","no","","0","31361","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G03-Gastos en general","no","no","","0","","",""
"MRS2043","08/03/19","13500","yes","11637.93","0","0","0","16","0","0","843271","ZINE0007","ZINS0007","","0","no","","0","31541","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G03-Gastos en general","no","no","","0","","",""
"PSP14","12/03/19","11400","yes","9827.59","0","0","0","16","0","0","840775","ZINE0008","ZINS0008","","0","no","","0","58492","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G01-Adquisición de mercancias","no","no","","0","","",""
"PSP14","12/03/19","3040","yes","2620.69","0","0","0","16","0","0","845543","ZINE0009","ZINS0009","","0","no","","0","58553","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G01-Adquisición de mercancias","no","no","","0","","",""
"MRS818","13/03/19","735","yes","633.62","0","0","0","16","0","0","846259","ZINE0010","ZINS0010","","0","no","","0","53665","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","P01-Por definir","no","no","","0","","",""
"MRS818","14/03/19","735","yes","633.62","0","0","0","16","0","0","846656","ZINE0011","ZINS0011","","0","no","","0","33616","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","P01-Por definir","no","no","","0","","",""
"PSP14","15/03/19","8360","yes","7206.9","0","0","0","16","0","0","847446","ZINE0012","ZINS0012","","0","no","","0","34314","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G01-Adquisición de mercancias","no","no","","0","","",""
"PSP14","15/03/19","9600","yes","8275.86","0","0","0","16","0","0","847525","ZINE0013","ZINS0013","","0","no","","0","34498","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G01-Adquisición de mercancias","no","no","","0","","",""
"MRS818","15/03/19","735","yes","633.62","0","0","0","16","0","0","847844","ZINE0014","ZINS0014","","0","no","","0","40630","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","P01-Por definir","no","no","","0","","",""
"MRS818","16/03/19","735","yes","633.62","0","0","0","16","0","0","848678","ZINE0015","ZINS0015","","0","no","","0","36898","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","P01-Por definir","no","no","","0","","",""
"MRS818","18/03/19","735","yes","633.62","0","0","0","16","0","0","852259","ZINE0016","ZINS0016","","0","no","","0","35635","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","P01-Por definir","no","no","","0","","",""
"MRS818","19/03/19","735","yes","633.62","0","0","0","16","0","0","853348","ZINE0017","ZINS0017","","0","no","","0","37420","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","P01-Por definir","no","no","","0","","",""
