"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncre","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"1","ACT3","65000","1","0","yes","0","16","0","53880","0","ZIDD0018","","yes","0","","0",""
"1","ACT3","385000","1","0","yes","0","16","0","785674","0","ZIDD0011","","yes","0","","0",""
"1","ACT3","1553.5","1","0","yes","0","16","0","986544","0","ZIDD0001","","yes","0","","0",""
"1","ACT3","1553.5","1","0","yes","0","16","0","996646","0","ZIDD0002","","yes","0","","0",""
"1","ACT3","30000","1","0","yes","0","16","0","1034584","0","ZIDD0005","","yes","0","","0",""
"1","ACT3","300000","1","0","yes","0","16","0","1036727","0","ZIDD0003","","yes","0","","0",""
"1","ACT3","100000","1","0","yes","0","16","0","1038628","0","ZIDD0004","","yes","0","","0",""
"1","ACT3","250000","1","0","yes","0","16","0","1045016","0","ZIDD0006","","yes","0","","0",""
"1","ACT3","100000","1","0","yes","0","16","0","1106439","0","ZIDD0007","","yes","0","","0",""
"1","ACT3","25000","1","0","yes","0","16","0","1106912","0","ZIDD0008","","yes","0","","0",""
"1","ACT3","10000","1","0","yes","0","16","0","1106915","0","ZIDD0009","","yes","0","","0",""
"1","ACT3","65000","1","0","yes","0","16","0","1106918","0","ZIDD0010","","yes","0","","0",""
"1","ACT3","115000","1","0","yes","0","16","0","1110081","0","ZIDD0012","","yes","0","","0",""
"1","ACT3","120000","1","0","yes","0","16","0","1115073","0","ZIDD0013","","yes","0","","0",""
"1","ACT3","100000","1","0","yes","0","16","0","1117022","0","ZIDD0014","","yes","0","","0",""
"1","ACT3","100000","1","0","yes","0","16","0","1121697","0","ZIDD0015","","yes","0","","0",""
"1","ACT3","265000","1","0","yes","0","16","0","1130772","0","ZIDD0016","","yes","0","","0",""
"1","ACT3","235000","1","0","yes","0","16","0","1130775","0","ZIDD0017","","yes","0","","0",""
"1","ACT3","100000","1","0","yes","1","16","0","1316321","0","ZIDD0019","","yes","0","","0",""
"1","ACT3","100000","1","0","yes","1","16","0","1344296","0","ZIDD0020","","yes","0","","0",""
"1","ACT3","70000","1","0","yes","1","16","0","1361570","0","ZIDD0021","","yes","0","","0",""
"1","ACT3","10000","1","0","yes","1","16","0","1375827","0","ZIDD0022","","yes","0","","0",""
"1","ACT3","42560","1","0","yes","1","16","0","1417963","0","ZIDD0023","","yes","0","","0",""
"1","ACT3","263.9","1","0","yes","1","16","0","1812295","0","ZIDD0024","","yes","0","","0",""
