"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncre","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"1","ACT2","21200","1","0","yes","0","16","0","38597","0","ZINE0726","ZINS0726","yes","0","","0",""
"1","ACT2","5300","1","0","yes","0","16","0","38615","0","ZINE0727","ZINS0727","yes","0","","0",""
"1","ACT2","31970","1","0","yes","0","16","0","38857","0","ZINE0722","ZINS0722","yes","0","","0",""
"1","ACT2","9660","1","0","yes","0","16","0","69615","0","ZINE0724","ZINS0724","yes","0","","0",""
"1","ACT2","1694.82","1","0","yes","0","16","0","72492","0","ZINE0721","ZINS0721","yes","0","","0",""
"1","ACT2","30360","1","0","yes","0","16","0","72713","0","ZINE0720","ZINS0720","yes","0","","0",""
"1","ACT2","995","1","0","yes","0","16","0","76040","0","ZINE0719","ZINS0719","yes","0","","0",""
"1","ACT2","11040","1","0","yes","0","16","0","76268","0","ZINE0718","ZINS0718","yes","0","","0",""
"1","ACT2","13600","1","0","yes","0","16","0","78277","0","ZINE0717","ZINS0717","yes","0","","0",""
"1","ACT2","61784.8","1","0","yes","0","16","0","79749","0","ZINE0715","ZINS0715","yes","0","","0",""
"1","ACT2","2128","1","0","yes","0","16","0","656822","0","ZINE3384","ZINS3384","yes","0","","0",""
"1","ACT2","4728","1","0","yes","0","16","0","748321","0","ZINE0001","ZINS0001","yes","0","","0",""
"1","ACT2","6000","1","0","yes","0","16","0","838280","0","ZINE0002","ZINS0002","yes","0","","0",""
"1","ACT2","31102","1","0","yes","0","16","0","838294","0","ZINE0003","ZINS0003","yes","0","","0",""
"1","ACT2","31102","1","0","yes","0","16","0","838309","0","ZINE0004","ZINS0004","yes","0","","0",""
"1","ACT2","2480","1","0","yes","0","16","0","838865","0","ZINE0005","ZINS0005","yes","0","","0",""
"1","ACT2","11400","1","0","yes","0","16","0","840775","0","ZINE0008","ZINS0008","yes","0","","0",""
"1","ACT2","6477.5","1","0","yes","0","16","0","843241","0","ZINE0006","ZINS0006","yes","0","","0",""
"1","ACT2","13500","1","0","yes","0","16","0","843271","0","ZINE0007","ZINS0007","yes","0","","0",""
"1","ACT2","3040","1","0","yes","0","16","0","845543","0","ZINE0009","ZINS0009","yes","0","","0",""
"1","ACT2","735","1","0","yes","0","16","0","846259","0","ZINE0010","ZINS0010","yes","0","","0",""
"1","ACT2","735","1","0","yes","0","16","0","846656","0","ZINE0011","ZINS0011","yes","0","","0",""
"1","ACT2","8360","1","0","yes","0","16","0","847446","0","ZINE0012","ZINS0012","yes","0","","0",""
"1","ACT2","9600","1","0","yes","0","16","0","847525","0","ZINE0013","ZINS0013","yes","0","","0",""
"1","ACT2","735","1","0","yes","0","16","0","847844","0","ZINE0014","ZINS0014","yes","0","","0",""
"1","ACT2","735","1","0","yes","0","16","0","848678","0","ZINE0015","ZINS0015","yes","0","","0",""
"1","ACT2","735","1","0","yes","0","16","0","852259","0","ZINE0016","ZINS0016","yes","0","","0",""
"1","ACT2","735","1","0","yes","0","16","0","853348","0","ZINE0017","ZINS0017","yes","0","","0",""
"1","ACT2","735","1","0","yes","0","16","0","854240","0","ZINE0018","ZINS0018","yes","0","","0",""
"1","ACT2","1074","1","0","yes","0","16","0","856372","0","ZINE0019","ZINS0019","yes","0","","0",""
"1","ACT2","441","1","0","yes","0","16","0","856684","0","ZINE0020","ZINS0020","yes","0","","0",""
"1","ACT2","780","1","0","yes","0","16","0","857255","0","ZINE0021","ZINS0021","yes","0","","0",""
"1","ACT2","1425","1","0","yes","0","16","0","857861","0","ZINE0022","ZINS0022","yes","0","","0",""
"1","ACT2","1560","1","0","yes","0","16","0","857871","0","ZINE0023","ZINS0023","yes","0","","0",""
"1","ACT2","12713.5","1","0","yes","0","16","0","860343","0","ZINE0024","ZINS0024","yes","0","","0",""
"1","ACT2","2742.6","1","0","yes","0","16","0","860402","0","ZINE0025","ZINS0025","yes","0","","0",""
"1","ACT2","12590","1","0","yes","0","16","0","861172","0","ZINE0026","ZINS0026","yes","0","","0",""
"1","ACT2","844.66","1","0","yes","0","16","0","861192","0","ZINE0027","ZINS0027","yes","0","","0",""
"1","ACT2","1560","1","0","yes","0","16","0","861733","0","ZINE0028","ZINS0028","yes","0","","0",""
"1","ACT2","4250.2","1","0","yes","0","16","0","862283","0","ZINE0031","ZINS0031","yes","0","","0",""
"1","ACT2","2369","1","0","yes","0","16","0","862479","0","ZINE0029","ZINS0029","yes","0","","0",""
"1","ACT2","1279.8","1","0","yes","0","16","0","862617","0","ZINE0030","ZINS0030","yes","0","","0",""
"1","ACT2","294","1","0","yes","0","16","0","862919","0","ZINE0043","ZINS0043","yes","0","","0",""
"1","ACT2","28531","1","0","yes","0","16","0","864828","0","ZINE0032","ZINS0032","yes","0","","0",""
"1","ACT2","390","1","0","yes","0","16","0","865430","0","ZINE0033","ZINS0033","yes","0","","0",""
"1","ACT2","315","1","0","yes","0","16","0","867562","0","ZINE0034","ZINS0034","yes","0","","0",""
"1","ACT2","1081","1","0","yes","0","16","0","867592","0","ZINE0035","ZINS0035","yes","0","","0",""
"1","ACT2","780","1","0","yes","0","16","0","867625","0","ZINE0036","ZINS0036","yes","0","","0",""
"1","ACT2","399","1","0","yes","0","16","0","867653","0","ZINE0037","ZINS0037","yes","0","","0",""
"1","ACT2","15600","1","0","yes","0","16","0","868547","0","ZINE0038","ZINS0038","yes","0","","0",""
"1","ACT2","7800","1","0","yes","0","16","0","869031","0","ZINE0039","ZINS0039","yes","0","","0",""
"1","ACT2","1820.38","1","0","yes","0","16","0","870007","0","ZINE0040","ZINS0040","yes","0","","0",""
