"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncar","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"1","SRV2","360","1","0","yes","0","16","0","55685","0","ZINC0001","ZI000039","yes","0","","0",""
"1","SRV2","36.5","1","0","yes","0","16","0","59931","0","ZINC0083","ZI010975","yes","0","","0",""
"1","SRV2","280","1","0","yes","0","16","0","88182","0","ZINC0002","ZI000093","yes","0","","0",""
"1","SRV2","140","1","0","yes","0","16","0","88192","0","ZINC0003","ZI000093","yes","0","","0",""
"1","SRV2","120","1","0","yes","0","16","0","88231","0","ZINC0004","ZI000075","yes","0","","0",""
"1","SRV2","515.82","1","0","yes","0","16","0","91395","0","ZINC0005","ZI000120","yes","0","","0",""
"1","SRV2","905.48","1","0","yes","0","16","0","91398","0","ZINC0006","ZI000184","yes","0","","0",""
"1","SRV2","2550","1","0","yes","0","16","0","91401","0","ZINC0007","ZI000111","yes","0","","0",""
"1","SRV2","3426","1","0","yes","0","16","0","95371","0","ZINC0008","ZI000046","yes","0","","0",""
"1","SRV2","3560.6","1","0","yes","0","16","0","95374","0","ZINC0009","ZI000046","yes","0","","0",""
"1","SRV2","400","1","0","yes","0","16","0","104112","0","ZINC0010","ZI000652","yes","0","","0",""
"1","SRV2","800","1","0","yes","0","16","0","104656","0","ZINC0011","ZI000858","yes","0","","0",""
"1","SRV2","700","1","0","yes","0","16","0","109031","0","ZINC0012","ZI001054","yes","0","","0",""
"1","SRV2","21899.8","1","0","yes","0","16","0","127014","0","ZINC0013","ZI000039","yes","0","","0",""
"1","SRV2","13420","1","0","yes","0","16","0","127886","0","ZINC0014","ZI001762","yes","0","","0",""
"1","SRV2","480","1","0","yes","0","16","0","129433","0","ZINC0015","ZI001959","yes","0","","0",""
"1","SRV2","120","1","0","yes","0","16","0","129453","0","ZINC0016","ZI001742","yes","0","","0",""
"1","SRV2","2200","1","0","yes","0","16","0","134083","0","ZINC0017","ZI001883","yes","0","","0",""
"1","SRV2","1200","1","0","yes","0","16","0","136577","0","ZINC0018","ZI001883","yes","0","","0",""
"1","SRV2","3200","1","0","yes","0","16","0","158596","0","ZINC0019","ZI002877","yes","0","","0",""
"1","SRV2","70","1","0","yes","0","16","0","164810","0","ZINC0020","ZI002518","yes","0","","0",""
"1","SRV2","20","1","0","yes","0","16","0","170971","0","ZINC0021","ZI003088","yes","0","","0",""
"1","SRV2","6390.4","1","0","yes","0","16","0","178160","0","ZINC0022","ZI003284","yes","0","","0",""
"1","SRV2","1050","1","0","yes","0","16","0","178605","0","ZINC0023","ZI003741","yes","0","","0",""
"1","SRV2","24108.8","1","0","yes","0","16","0","187239","0","ZINC0024","ZI003419","yes","0","","0",""
"1","SRV2","40","1","0","yes","0","16","0","187256","0","ZINC0025","ZI003093","yes","0","","0",""
"1","SRV2","227.5","1","0","yes","0","16","0","187259","0","ZINC0026","ZI003414","yes","0","","0",""
"1","SRV2","200","1","0","yes","0","16","0","187262","0","ZINC0027","ZI003875","yes","0","","0",""
"1","SRV2","6654","1","0","yes","0","16","0","192744","0","ZINC0028","ZI003522","yes","0","","0",""
"1","SRV2","840","1","0","yes","0","16","0","196405","0","ZINC0029","ZI004227","yes","0","","0",""
"1","SRV2","4668.25","1","0","yes","0","16","0","200733","0","ZINC0030","ZI004340","yes","0","","0",""
"1","SRV2","6193.72","1","0","yes","0","16","0","222089","0","ZINC0031","ZI004449","yes","0","","0",""
"1","SRV2","40.69","1","0","yes","0","16","0","235432","0","ZINC0032","ZI005658","yes","0","","0",""
"1","SRV2","52225","1","0","yes","0","16","0","245994","0","ZINC0033","ZI005984","yes","0","","0",""
"1","SRV2","36600","1","0","yes","0","16","0","245997","0","ZINC0034","ZI005978","yes","0","","0",""
"1","SRV2","507.03","1","0","yes","0","16","0","253185","0","ZINC0035","ZI005537","yes","0","","0",""
"1","SRV2","150",".5","0","yes","0","16","0","257876","0","ZINC0036","ZI005877","yes","0","","0",""
"1","SRV2","60","1","0","yes","0","16","0","257895","0","ZINC0037","ZI005475","yes","0","","0",""
"1","SRV2","1280","1","0","yes","0","16","0","260693","0","ZINC0038","ZI006368","yes","0","","0",""
"1","SRV2","198.9","1","0","yes","0","16","0","304921","0","ZINC0039","ZI006863","yes","0","","0",""
"1","SRV2","490","1","0","yes","0","16","0","304926","0","ZINC0040","ZI007471","yes","0","","0",""
"1","SRV22","680","1","0","yes","0","16","0","314483","0","ZINC0041","ZI007959","yes","0","","0",""
"1","SRV22","680","1","0","yes","0","16","0","314486","0","ZINC0042","ZI008008","yes","0","","0",""
"1","SRV22","5863","1","0","yes","0","16","0","322849","0","ZINC0044","ZI006946","yes","0","","0",""
"1","SRV2","873.4","1","0","yes","0","16","0","326382","0","ZINC0045","ZI005814","yes","0","","0",""
"1","SRV2","1343.2","1","0","yes","0","16","0","326385","0","ZINC0046","ZI005807","yes","0","","0",""
"1","SRV2","51567.5","1","0","yes","0","16","0","333396","0","ZINC0043","ZI004847","yes","0","","0",""
