Claart,Cant,Dias_Totales,Clapro
01ACC,42.0,3,IGA91
01ADN,100.0,1,LME56
01ALAM,1630.9,18,IAL83
01ALREC,2162.736,26,APO69
01ARCRI,7.0,3,OESM9709038W6
01ARE,69.0,17,OESM9709038W6
01ARE4,12.0,6,OESM9709038W6
01ARECOS,4.0,4,OESM9709038W6
01ARM12204,64.0,8,DEA710
01ARM123,34.0,4,MCO130808
01ARM124,76.0,12,MCO130808
01ARM15254,29.0,3,AAL05
01ARM1530,6.0,4,GAC95
01ARM1538,279.0,22,DEA710
01ARM1543,321.0,11,CON09
01ARM204,1036.0,24,MMS00
01BAB1030,17962.0,19,LME56
01BAB130OF,30.0,1,
01BIOB0012,1449.0,5,LSC
01BLO10,3444.0,16,OESM9709038W6
01BLO12,4290.0,13,OESM9709038W6
01BLO15,37340.0,23,OESM9709038W6
01BLO15202,500.0,1,BLO160817
01BOQA,3.0,1,PSE73
01BOQUS,1.0,1,PSE73
01CAL,1542.0,26,CQM66
01CALK,8.0,4,
01CAS111,203.0,9,AEM87
01CAS122,73.0,4,AEM87
01CAS651,1288.0,10,AEM87
01CAS661,338.0,5,AEM87
01CEMAGR,406.06,17,CCA95
01CEMB,92.0,20,OESM9709038W6
01CEMB50,7.0,2,USL91
01CEMBIG,254.0,26,CCA95
01CEMCAZ50,14670.0,26,CCA95
01CEMMCA50,63.0,3,CCA95
01CEMT1,245.0,7,MERO870107
01COMB34,64.0,13,OESM9709038W6
01COMCOSTAL,15.0,4,OESM9709038W6
01ES,907.0,25,SME781130
01ESC15,5.0,1,FOR15
01EST123,458.59999999999997,7,GUCE890521MQ4
01EST1515,234.79999999999998,6,DEA710
01EST1520,1094.5,20,DEA710
01EST1525,513.6800000000001,11,DEA710
01EST1530,451.4,11,DEA710
01GTRB,18.0,4,OESM9709038W6
01LADR5,1745.0,5,GIGS690419
01LADRIDLL,3430.0,11,LSC
01LANDRB,350.0,1,LSC
01MALSOL10,4422.5,18,TDM99
01MALSOL6,1724.5,20,TDM99
01MAS44,200.0,2,TDM99
01MPT,7.0,2,OESM9709038W6
01PAB,1465.0,26,SME781130
01PIED,12.0,2,OESM9709038W6
01PPS,1.0,1,bin931005
01PW2000,2.0,1,AEM87
01RO124HN,120.0,1,TAB83
01SON15,1.0,1,CTS98
01SON20,6.0,3,CTS98
01SON25,2.0,1,CTS98
01SON30,13.0,3,CTS98
01SON35,4.0,1,CTS98
01TES,230.0,1,LME56
01UB40,121.0,6,UNI74
01VAR1,2.0,1,TDM99
01VAR112,941.0,14,IAL83
01VAR112R,200.0,8,DEA710
01VAR1R,13.0,2,DEA710
01VAR34,22.0,2,MCO130808
01VAR38,5160.0,26,TDM99
01VAR58,26.0,2,TDM99
01VAR58R,56.0,3,DEA710
01YEM,905.0,23,YC050
02ANGA,257.0,7,PRE82
02CAN24,42.0,1,PRE82
02CIFIBV,15.0,3,PRE82
02CINJ,36.0,10,PRE82
02COME28,16.0,4,PRE82
02COMEAS,10.0,2,PRE82
02COMP12,4.0,3,PRE82
02COMPP,27.0,5,PRE82
02COMSL5,4.0,4,PRE82
02COMST21,27.0,10,PRE82
02ECAG4305,422.0,10,PRE82
02ECAG6305,145.0,16,PRE82
02ECAG920,7.0,3,PRE82
02ECLE305,108.0,4,PRE82
02EES244,53.0,3,GDE09
02EES305,38.0,5,PRE82
02EPG4305,381.0,14,PRE82
02EPG920,25.0,3,PRE82
02EPMG635,24.0,3,PRM07
02EPP4244,8.0,2,PRE82
02EPP6305,229.0,14,PRE82
02FBVA,5.0,1,
02PANF12,6.0,1,PRE82
02PANGU,107.0,2,PRE82
02PANH2,5.0,2,PRM07
02PANLIG12,184.0,13,PRE82
02PANN2,222.0,13,PRE82
02PERM,50.0,3,PRE82
02PFRTF,3.0,2,PRE82
02TOR1,900.0,3,HHI05
02TOR34,100.0,1,GOPR82
02TOR812,6922.0,14,PRE82
02TORFOSF,21950.0,16,PRE82
02TORFR,2600.0,2,
02TORP114,2300.0,4,PRE82
02TORS112,100.0,1,GOPR82
02TORS2,420.0,3,GOPR82
02TORS212,100.0,1,TME05
02TORS3,306.0,3,GOPR82
02TORSTD101,10.0,1,GOPR82
03101AL18,303.40000000000003,15,AME75
03101AL20,209.99999999999997,17,AAL05
03101AL20Z,22.4,3,AME75
03103TS18,205.8,12,AME75
03103TS20,163.20000000000002,14,AME75
03103TS20Z,35.2,5,AME75
03106Z18,8.6,1,AME75
03121CH18,444.0,12,AME75
03121CH20,258.0,16,AME75
03121CH20Z,21.0,2,AME75
03122ES18,111.0,10,AME75
03122ES20,92.8,11,AME75
03122ES20Z,8.7,2,AME75
03123AR18,64.5,7,AME75
03123AR20,64.0,7,AAL05
03123AR20Z,3.2,1,AME75
03124GVC18,144.8,18,AME75
03126CHC18,10.4,1,AME75
03126CHC20,48.0,4,AAL05
03127TDC18,100.8,6,AME75
03127TDC20,12.899999999999999,2,AAL05
03131MOS20,144.0,10,AAL05
03154JUN18,25.5,5,AAL05
03154JUN20,50.4,15,AAL05
03154JUN20Z,1.2,1,AME75
03160PSM18,60.199999999999996,4,AME75
03160PSM20,16.0,2,AME75
03ANG142,241.6,3,AAL05
03ANG181,316.7,13,AAL05
03ANG18112,218.3,4,AAL05
03ANG18114,144.0,9,AAL05
03ANG182,218.4,6,AAL05
03ANG1834,81.2,7,AAL05
03ANG3161,55.0,4,AAL05
03ANG316112,357.0,5,AAL05
03ANG316114,56.0,3,AAL05
03ANG3162,299.0,4,AAL05
03ANG316212,98.0,1,AAL05
03ANG384,91.0,1,AAL05
03CABZITR,5.0,1,AVM101208
03CAN3,157.0,3,AAL05
03DUDO20,211.5,8,AME75
03DUDOZ20,61.1,2,AME75
03DUSE20,5.4,1,AME75
03K10018,23.0,2,AME75
03K30020,60.0,9,AAL05
03LA10126300,27.0,8,AVM101208
03LA10126350,7.0,2,AGC960115
03LA10126400,1.0,1,AGC960115
03LA10126450,25.0,4,AVM101208
03LA10126500,39.0,3,AGC960115
03LA10126550,7.0,1,AVM101208
03LA10126600,58.0,7,AGC960115
03LA10126650,10.0,1,AAL05
03LA10126750,24.0,1,AAL05
03LAACAPI11,6.0,1,AGC960115
03LACAPI10,6.0,1,AGC960115
03LAM152,30.0,1,AAL05
03LAMGT244,3.0,2,AAL05
03LAMPINT,60.0,1,AGC960115
03LAPCBR10855,6.0,1,ECO01
03LAT41014,4.0,3,AAL05
03LG31018,6.0,2,AAL05
03LG31020,1.0,1,AAL05
03LG31022,5.0,3,AAL05
03LG31024,12.0,3,AAL05
03LG31026,13.0,4,AAL05
03LG41018,5.0,3,AAL05
03LG41022,1.0,1,AAL05
03LG41026,11.0,3,AVM101208
03LLD2520,8.0,1,AAL05
03LN310163,12.0,6,AAL05
03LN31018,20.0,9,AAL05
03LN31020,11.0,4,AAL05
03LN31024,2.0,2,AAL05
03LN41010,1.0,1,AAL05
03LN41014,1.0,1,AAL05
03LN41016,6.0,3,AAL05
03LN41018,20.0,7,AAL05
03LN41020,9.0,7,AAL05
03LN41022,2.0,1,AAL05
03LPC72488,7.0,2,ECO01
03LPCR723,1.0,1,ECO01
03LPCR724,6.0,1,ECO01
03M22518,409.4,20,AME75
03M22518Z,7.6,1,AME75
03M22520,481.4,18,AAL05
03M22520Z,75.39999999999999,7,AME75
03MD1834,2.0,1,ASH87
03MDDC1412,6.0,1,HHI05
03MDFE26,3.0,1,HHI05
03MDFE27,8.0,4,HHI05
03P10018,256.0,13,AME75
03PC10018,812.0,17,AME75
03PC10020,98.9,7,AME75
03PC10020Z,239.2,2,AME75
03PC12518,198.0,8,AME75
03PC12520,11.2,1,AME75
03PC125C20Z,56.0,1,AME75
03PC15018,430.0,15,AME75
03PC15020,155.1,4,AME75
03PC20018,98.6,4,AME75
03PC718Z,163.4,1,AME75
03PC7518,409.6,15,AME75
03PC7520,94.4,9,AAL05
03PC7520Z,3.2,1,AME75
03PERC050,232.4,13,AME75
03PL41014,31.666,1,AAL05
03PL410316,140.0,1,AAL05
03POL1010,452.0,2,AME75
03POL1214,96.0,1,AME75
03POL36,2700.0,16,AME75
03POL46,4000.0,14,AME75
03POL56,242.0,1,AME75
03POL66,1425.0,3,AME75
03POL86,1237.2,3,AME75
03POL88,1123.2,2,AME75
03PP10020,314.1,17,AME75
03PP10020Z,102.3,9,AME75
03PP15018,19.2,2,AME75
03PP15020,7.6,1,AME75
03PP20018,45.6,2,AME75
03PP20020,17.2,1,AAL05
03PP20020Z,60.2,3,AME75
03PP25018,24.4,2,AME75
03PP25020,57.6,3,AME75
03PP30018,154.0,8,AME75
03PP30020,58.3,4,AME75
03PP30020Z,74.2,4,AME75
03PP40018,316.8,12,AAL05
03PR10018,46.2,5,AME75
03PR10020,60.8,5,AME75
03PR10020Z,16.0,1,AME75
03PR12518,28.0,2,AME75
03PR17518,151.20000000000002,8,AME75
03PR17520,11.2,2,AME75
03PR20018,356.40000000000003,11,AAL05
03PR20020,256.0,9,AAL05
03PR20020Z,16.0,2,AME75
03PR22518,288.09999999999997,6,AME75
03PR22520,72.6,5,AME75
03PR30018,819.2,10,AME75
03PR30020,609.6,6,AME75
03PR30020Z,19.2,1,AME75
03PR40018,466.1,12,AME75
03PTR11214,2541.5,23,AME75
03PTR113,20.0,1,AME75
03PTR114,537.6,13,AME75
03PTR11414,945.0,14,AME75
03PTR211,28.0,1,AME75
03PTR2114,118.80000000000001,4,AME75
03PTR212,24.8,1,AME75
03PTR21211214,574.2,4,AME75
03PTR212114,32.8,1,AME75
03PTR21214,22.5,1,AME75
03PTR214,1082.4,14,AME75
03PTR3112,170.0,5,AME75
03PTR3214C,242.0,3,AME75
03PTR3314,1117.2,6,AME75
03PTR34,450.45,9,AME75
03PTR411214,329.6,6,AME75
03PTR4210,50.0,1,AAL05
03PTR4214,176.79999999999998,3,AME75
03PTR4414,1292.4,6,AME75
03PTR6214,114.0,2,AME75
03R249C18,399.0,5,AME75
03R250C18,134.2,3,AME75
03R400C20,23.6,2,AME75
03RIEL1500,108.0,4,AME75
03RIEL18,44.400000000000006,6,AME75
03S126,91.2,1,AAL05
03SOL12112,12.0,1,AAL05
03SOL122,62.0,1,AAL05
03SOL12212,39.0,1,AAL05
03SOL14110,42.0,1,AAL05
03SOL14112,120.0,5,AAL05
03SOL141211,41.8,4,AAL05
03SOL14212,20.0,1,AAL05
03SOL143,48.0,2,AAL05
03SOL144,62.4,2,AAL05
03SOL181,56.0,9,AAL05
03SOL18112,142.6,10,AAL05
03SOL18114,65.0,9,AAL05
03SOL1812,240.0,20,AAL05
03SOL182,76.95,7,AAL05
03SOL18212,9.4,1,AAL05
03SOL183,25.0,1,AAL05
03SOL1834,171.0,9,AAL05
03SOL184,8.0,1,AAL05
03SOL3161,57.0,4,AAL05
03SOL316112,100.4,7,AAL05
03SOL316114,25.9,3,AAL05
03SOL31612,57.0,4,AAL05
03SOL3162,144.0,5,AAL05
03SOL316212,16.0,1,AAL05
03SOL3163,27.0,2,AAL05
03SOL31634,160.0,4,AAL05
03SOL38112,66.5,2,AAL05
03SOL38212,29.0,1,AAL05
03SOLP12,7.6,1,AAL05
03TAB3101,102.0,4,FOR96
03TAB310T,224.4,5,AME75
03TAB33,18.6,2,AME75
03TAB36,300.0,12,AME75
03TAB36A,79.19999999999999,3,
03TAB36Z,136.4,3,AME75
03TAB38,342.3,5,FOR96
03TAB38Z,163.6,4,AME75
03TAB3Z,167.4,8,AME75
03TABBTZ310,714.0,3,AME75
03TC301,49.5,9,AME75
03TC30114,10.0,3,AME75
03TC3012,11.5,7,AME75
03TC302,3.0,1,AME75
03TC30212,1.0,1,AME75
03TC303,0.5,1,AME75
03TC3031,29.0,7,AME75
03TC304,1.0,1,AME75
03TC30L,41.0,6,AME75
03TC401,6.0,3,AME75
03TC40112,2.5,2,AME75
03TC40114,2.0,2,AME75
03TC4012,0.5,1,AME75
03TC40212,0.5,1,AME75
03TC4034,3.0,1,AME75
03TM16134,10.4,1,AME75
03TM181,211.2,8,AME75
03TM18112,59.5,4,AAL05
03TM1812,30.8,5,AME75
03TM18134,21.5,2,AME75
03TM182,18.8,2,AME75
03TM1834,36.800000000000004,4,AME75
03TM21218,48.0,3,AME75
03VCAR12,84.7,4,TDM99
03VCAR38,160.6,4,AAL05
03VCUA12,1655.7,22,TDM99
03VCUA38,642.1,19,AAL05
03VCUA58,296.09999999999997,3,AAL05
03VIPR8612,438.0,1,AAL05
03VRED1,62.0,2,AAL05
03VRED12,118.4,9,AAL05
03VRED14,7.0,2,AAL05
03VRED34,138.0,4,AAL05
03VRED38,62.7,4,AAL05
03VRED58,72.0,3,AAL05
03k30018,88.023,10,AME75
048011,13.0,4,API83
04ASH0610,6.0,2,HHI05
04BISA,6.0,2,HHI05
04BISA112,4.0,1,HHI05
04BISA34,8.0,1,HHI05
04BISLB4RF,12.0,3,HHI05
04C227,1.0,1,
04CAZ1,35.0,2,FHH13
04CAZ2,10.0,1,FAR88
04CAZ3,16.0,1,FAR88
04CEMUVE,1.0,1,THE7911
04CEPD,5.0,4,HHI05
04CHACOM,52.0,1,FAR88
04CHPAV,32.0,16,HHI05
04CHPFANL,8.0,6,FIN87
04CHPH717,1.0,1,
04CUE12,91.0,8,HHI05
04CUE34,200.0,1,HHI05
04CUE58,40.0,1,HHI05
04CUEN12V,24.0,1,HHI05
04DA451078,60.0,10,HHI05
04DISCAU778,413.0,20,HHI05
04DLG40,4.0,2,HHI05
04ESF1D,12.0,1,HHI05
04FLBAR,12.0,1,HHI05
04FLROM,80.0,1,HHI05
04FOR,14.575,3,FAR88
04FORFC2,16.0,1,HHI05
04HBISL3,243.0,19,HHI05
04HBISPR200,4.0,1,HHI05
04HBISPR250,6.0,1,HHI05
04HBISPR300,14.0,1,HHI05
04HBISTU1,15.0,3,HHI05
04HBISTU12,64.0,9,HHI05
04HBISTU34,58.0,3,HHI05
04HBISTU38,24.0,3,HHI05
04HBISTU58,22.0,5,HHI05
04HBL3R,46.0,7,HHI05
04HCDAD,4.0,3,THE7911
04HCEP,15.0,1,UHP90
04HCEPLL,1.0,1,UHP90
04HCGD,2.0,2,HHI05
04HCOP,204.0,8,HHI05
04HCR,285.0,18,HHI05
04HCR16,16.0,6,HHI05
04HCRT,5.0,2,HHI05
04HDCM14,59.0,17,HHI05
04HDCM7,9.0,8,HHI05
04HDD412,20.0,6,HHI05
04HDDC412,107.0,11,CAL9908
04HDDC7,17.0,10,HHI05
04HDILA,55.0,10,HHI05
04HDISC,76.0,12,API83
04HDISCLF,4.0,1,API83
04HDISLAM,3.0,1,HHI05
04HFMEN1012B,8.0,1,THE7911
04HFPM2G,7.0,1,FAN540305
04HFPM4L,3.0,1,FAN540305
04HHFRE,25.0,1,FAR88
04HHROS,60.0,2,FAR88
04HMPT,17.0,4,HHI05
