Claart,Fecfac,Cant
01CEMBIG,03/09/20,8.0
01CEMBIG,03/09/20,2.0
01CEMCAZ50,31/08/20,230.0
01CEMCAZ50,02/09/20,70.0
06CLA212,29/08/20,5.0
01ARM1543,29/08/20,10.0
06CLA112,29/08/20,1.0
01CEMCAZ50,29/08/20,220.0
01ARM1543,28/08/20,6.0
01ALAM,28/08/20,4.31
01CEMCAZ50,28/08/20,80.0
01CEMCAZ50,27/08/20,100.0
01CEMAGR,26/08/20,26.18
01CEMCAZ50,16/12/22,4.0
01LADR5,16/12/22,300.0
01ALAM,18/01/21,100.0
01ALREC,18/01/21,50.0
01BLO10,18/01/21,450.0
01BLO15,18/01/21,200.0
01CAL,18/01/21,10.0
01CEMCAZ50,18/01/21,50.0
06POLH2,18/01/21,200.0
06RB167,18/01/21,2.0
GTRAS,18/01/21,2.0
01CEMCAZ50,24/01/20,850.0
01CEMCAZ50,04/04/19,2.0
05TINRTT1100,02/03/19,2.0
01ARM12204,06/03/19,10.0
01ARM123,06/03/19,50.0
01MALSOL10,06/03/19,100.0
01MAS44,06/03/19,300.0
05CAJP,06/03/19,10.0
01ARM12204,06/03/19,10.0
01ARM123,06/03/19,50.0
01MALSOL10,06/03/19,100.0
01MAS44,06/03/19,300.0
01VAR38,06/03/19,20.0
01VART6014,12/03/19,300.0
05CIS10MIL,08/03/19,0.33
05CIS10MIL,08/03/19,0.67
01VART6014,12/03/19,80.0
01CEMCAZ50,14/03/19,5.0
01CEMCAZ50,13/03/19,5.0
05CAJP,15/03/19,16.0
01VART6014,15/03/19,220.0
01CEMCAZ50,15/03/19,5.0
01CEMCAZ50,16/03/19,5.0
01CEMCAZ50,18/03/19,5.0
01CEMCAZ50,19/03/19,5.0
01CEMCAZ50,20/03/19,5.0
01BLO15,22/03/19,100.0
01CEMCAZ50,22/03/19,2.0
01CEMCAZ50,22/03/19,3.0
01BLO15,22/03/19,100.0
01CEMCAZ50,23/03/19,10.0
01BLO15,23/03/19,100.0
01CEMCAZ50,23/03/19,5.0
01ALREC,26/03/19,15.0
01CAL,26/03/19,4.0
01CEMCAZ50,26/03/19,8.0
03BIO12,26/03/19,1000.0
01BIOB0012,26/03/19,100.0
05CISTDR500,27/03/19,1.0
03PR40018,27/03/19,31.4
01BLO15,27/03/19,200.0
03PR40018,28/03/19,158.0
01VAR38,28/03/19,23.0
01ARM12204,28/03/19,9.0
06CLA212,28/03/19,3.0
06CLAC212,28/03/19,1.0
