Claart,Fecncre,Cant,Clacli,Clatipcli,Numfac
03PERC050,31/08/20,2.8,MRS2043,0,ZI030414
03VCUA12,31/08/20,15.6,MRS2043,0,ZI030414
04HBISL3,31/08/20,6.0,MRS2043,0,ZI030414
06PIJ834,31/08/20,200.0,MRS2043,0,ZI030414
01CEMCAZ50,04/07/16,300.0,API14,0,ZI000060
01CEMCAZ50,04/07/16,360.0,API14,0,ZI000074
01CEMCAZ50,04/07/16,50.0,API14,0,ZI000080
01CEMCAZ50,04/07/16,400.0,API14,0,ZI000147
01ARM124,18/06/18,26.0,PSP14,0,ZI014107
01MALSOL6,18/06/18,400.0,PSP14,0,ZI014107
01VAR38,18/06/18,25.0,PSP14,0,ZI014107
01ARM124,18/06/18,4.0,PSP14,0,ZI014244
01VAR38,18/06/18,6.0,PSP14,0,ZI014244
01CEMCAZ50,04/07/16,300.0,API14,0,ZI000054
01CEMCAZ50,04/07/16,60.0,API14,0,ZI000056
01CEMCAZ50,04/07/16,60.0,API14,0,ZI000059
05ADAPHPK12,28/08/20,21.0,MRS2043,0,ZI030400
03POL1214,27/08/20,192.0,PTE18,0,ZI027642
03POL56,27/08/20,66.0,PTE18,0,ZI027642
03VRED34,27/08/20,13.6,PTE18,0,ZI027642
04HDD412,27/08/20,2.0,PTE18,0,ZI027642
04HDDC412,27/08/20,2.0,PTE18,0,ZI027642
04HSO1818,27/08/20,5.0,PTE18,0,ZI027642
01EST1520,27/08/20,21.8,MRS2043,0,ZI030359
01CEMCAZ50,04/09/16,360.0,API14,0,ZI000063
01CEMCAZ50,04/09/16,360.0,API14,0,ZI000083
01ALAM,05/04/16,100.0,JME00,0,ZI000409
01ARM1538,05/04/16,48.0,JME00,0,ZI000409
01ARM204,05/04/16,90.0,JME00,0,ZI000409
01VAR112,05/04/16,40.0,JME00,0,ZI000409
01VAR38,05/04/16,670.0,JME00,0,ZI000409
04HSO1818,13/05/16,40.0,PAP07,4,ZI000399
04HPIM,20/05/16,500.0,SES08,0,ZI000568
01CEMCAZ50,20/05/16,160.0,UAS23,4,ZI000092
01CEMMCA50,20/05/16,200.0,UAS23,4,ZI000092
03VCUA12,27/05/16,390.0,GASC76,8,ZI000511
01CEMCAZ50,06/06/16,80.0,COE05,4,ZI000696
01CEMCAZ50,06/07/16,1.0,RACG68,3,ZI000744
05LAVB,06/11/16,2.0,SES08,0,ZI000738
0649174,06/11/16,1.0,SES08,0,ZI000738
03TM18112,16/06/16,39.6,SAK96,4,ZI000390
04HSI2176,16/06/16,3.54,SAK96,4,ZI000390
01CEMCAZ50,22/06/16,160.0,UAS23,4,ZI000600
01CEMMCA50,22/06/16,120.0,UAS23,4,ZI000600
03PC10018,07/02/16,540.0,RODH66,6,ZI000505
03PTR211,07/11/16,676.8,LOCC76,4,ZI001173
01CEMCAZ50,18/07/16,80.0,MRS40006,0,ZI000932
01VAR112,18/07/16,5.0,MRS40006,0,ZI000936
06CLA212,18/07/16,25.0,MRS40006,0,ZI000938
01ALREC,18/07/16,71.4,MRS40006,0,ZI000945
01VAR112,18/07/16,5.0,MRS40006,0,ZI000945
01VAR38,18/07/16,20.0,MRS40006,0,ZI000945
01CEMBIG,18/07/16,4.0,MRS40006,0,ZI000957
01CEMCAZ50,18/07/16,40.0,MRS40006,0,ZI001124
01CEMCAZ50,28/07/16,160.0,UAS23,4,ZI001038
01CEMMCA50,28/07/16,120.0,UAS23,4,ZI001038
01CEMCAZ50,08/02/16,150.0,HEGI83,4,ZI000481
01ALAM,08/02/16,300.0,HEGI83,4,ZI000881
01ALREC,08/02/16,60.0,HEGI83,4,ZI000881
01CEMBIG,08/02/16,20.0,HEGI83,4,ZI000881
01MALSOL10,08/02/16,500.0,HEGI83,4,ZI000881
01VAR38,08/02/16,30.0,HEGI83,4,ZI000881
01CEMBIG,08/02/16,20.0,HEGI83,4,ZI000911
01MALSOL10,08/02/16,500.0,HEGI83,4,ZI000911
03RNL3161,08/02/16,6.0,HEGI83,4,ZI000942
03SOL3161,08/02/16,36.0,HEGI83,4,ZI000942
01CEMBIG,08/02/16,26.0,HEGI83,4,ZI001022
01MALSOL10,08/02/16,500.0,HEGI83,4,ZI001022
01ALAM,08/02/16,40.0,HEGI83,4,ZI000584
01ALREC,08/02/16,60.0,HEGI83,4,ZI000584
01CEMBIG,08/02/16,4.0,HEGI83,4,ZI000584
01VAR38,08/02/16,30.0,HEGI83,4,ZI000584
03TAB310T,24/08/16,183.6,GASC76,8,ZI001465
03POL46,24/08/16,60.0,SPL96,1,ZI001949
03POL56,24/08/16,440.0,SPL96,1,ZI001949
03TC76,30/08/16,1.0,EAGI80,4,ZI001763
01ALREC,09/06/16,2.0,RODH66,6,ZI000213
01BLO10,09/06/16,24.0,RODH66,6,ZI000213
01CEMCAZ50,09/06/16,4.0,RODH66,6,ZI000213
01CEMMCA50,09/06/16,8.0,RODH66,6,ZI000240
01ALREC,09/06/16,1.0,RODH66,6,ZI000364
01CEMCAZ50,09/06/16,3.0,RODH66,6,ZI000364
01MALSOL10,09/06/16,7.5,RODH66,6,ZI000364
01ARM124,09/06/16,10.0,RODH66,6,ZI000376
01CEMCAZ50,09/06/16,3.0,RODH66,6,ZI000393
01BLO12,09/06/16,200.0,RODH66,6,ZI000407
03TC76,09/06/16,4.0,EAGI80,4,ZI001763
05ABRZT2,09/06/16,28.0,EAGI80,4,ZI001763
05BS6,09/06/16,2.0,EAGI80,4,ZI001763
05CEG2,09/06/16,14.0,EAGI80,4,ZI001763
05EMPNEO2,09/06/16,2.0,EAGI80,4,ZI001763
05RCS4062,09/06/16,1.0,EAGI80,4,ZI001763
06POLH2,09/06/16,1600.0,EAGI80,4,ZI001763
06VCB6,09/06/16,1.0,EAGI80,4,ZI001763
08RON34,09/06/16,16.0,EAGI80,4,ZI001763
08t34312,09/06/16,16.0,EAGI80,4,ZI001763
08TUER34,09/06/16,16.0,EAGI80,4,ZI001763
01CEMCAZ50,09/07/16,160.0,UAS23,4,ZI001528
01CEMMCA50,09/07/16,120.0,UAS23,4,ZI001528
01CEMCAZ50,09/07/16,100.0,UAS23,4,ZI001744
01CEMMCA50,09/07/16,80.0,UAS23,4,ZI001744
01CEMCAZ50,09/07/16,160.0,UAS23,4,ZI001766
01CEMMCA50,09/07/16,60.0,UAS23,4,ZI002093
01ALAM,09/10/16,423.0,JURF73,0,ZI001963
01CAL,09/10/16,50.0,JURF73,0,ZI001963
01CEMCAZ50,09/10/16,300.0,JURF73,0,ZI001963
01VAR38,09/10/16,100.0,JURF73,0,ZI001963
01CEMCAZ50,09/10/16,250.0,JURF73,0,ZI002064
01MALSOL10,09/10/16,100.0,JURF73,0,ZI002064
01VAR112,09/10/16,2.0,JURF73,0,ZI002064
01VAR38,09/10/16,100.0,JURF73,0,ZI002064
01ALAM,09/10/16,80.0,JURF73,0,ZI002064
01ALREC,09/10/16,50.0,JURF73,0,ZI002064
01CAL,09/10/16,25.0,JURF73,0,ZI002064
06CLA212,09/10/16,25.0,JURF73,0,ZI002064
01ALAM,09/10/16,40.0,JURF73,0,ZI002074
01ALREC,09/10/16,30.0,JURF73,0,ZI002074
01BLO15,09/10/16,500.0,JURF73,0,ZI002074
01CAL,09/10/16,15.0,JURF73,0,ZI002074
01CEMCAZ50,09/10/16,280.0,JURF73,0,ZI002074
01MALSOL10,09/10/16,80.0,JURF73,0,ZI002074
01VAR112,09/10/16,3.0,JURF73,0,ZI002074
01VAR38,09/10/16,60.0,JURF73,0,ZI002074
06CLA212,09/10/16,15.0,JURF73,0,ZI002074
01LAD,09/10/16,4500.0,JURF73,0,ZI002124
01ALAM,09/10/16,50.0,JURF73,0,ZI002130
01ALREC,09/10/16,20.0,JURF73,0,ZI002130
01CEMCAZ50,09/10/16,25.0,JURF73,0,ZI002130
01LAD,09/10/16,1500.0,JURF73,0,ZI002130
01VAR38,09/10/16,15.0,JURF73,0,ZI002130
06CLA212,09/10/16,6.0,JURF73,0,ZI002130
01ALREC,09/10/16,100.0,JURF73,0,ZI002135
01CEMCAZ50,09/10/16,70.0,JURF73,0,ZI002135
01SON30,09/10/16,16.0,JURF73,0,ZI002135
01VAR112,09/10/16,6.0,JURF73,0,ZI002135
01VAR34,09/10/16,50.0,JURF73,0,ZI002135
01VAR38,09/10/16,110.0,JURF73,0,ZI002135
01ALREC,10/03/16,209.8,MRS2043,0,ZI002652
05VALER112,10/03/16,1.0,MRS2043,0,ZI002652
05VALER2,10/03/16,1.0,MRS2043,0,ZI002652
01CEMCAZ50,10/04/16,600.0,MCS85,4,ZI002615
01CEMCAZ50,10/05/16,60.0,MCS85,4,ZI001412
01CEMCAZ50,10/05/16,210.0,MCS85,4,ZI001520
01ALAM,10/05/16,120.0,MCS85,4,ZI001521
01CEMCAZ50,10/05/16,320.0,MCS85,4,ZI001521
01MALSOL6,10/05/16,100.0,MCS85,4,ZI001521
01VAR38,10/05/16,20.0,MCS85,4,ZI001521
01CEMCAZ50,10/05/16,45.0,MCS85,4,ZI001656
01CEMCAZ50,10/05/16,120.0,MCS85,4,ZI002069
01CEMCAZ50,10/05/16,280.0,MCS85,4,ZI002145
01CEMCAZ50,10/05/16,300.0,MCS85,4,ZI002209
01CEMCAZ50,10/05/16,320.0,MCS85,4,ZI002298
03ANG3161,10/05/16,31.8,MCS85,4,ZI002389
01CEMCAZ50,10/05/16,150.0,MCS85,4,ZI002394
01ALAM,10/05/16,350.0,MCS85,4,ZI002414
01ALREC,10/05/16,100.0,MCS85,4,ZI002414
01CEMCAZ50,10/05/16,300.0,MCS85,4,ZI002414
01VAR38,10/05/16,60.0,MCS85,4,ZI002414
03POL46,10/05/16,300.0,MCS85,4,ZI002490
01CEMCAZ50,10/05/16,320.0,MCS85,4,ZI002512
01CEMCAZ50,10/05/16,400.0,MCS85,4,ZI002530
01CEMCAZ50,10/05/16,360.0,MCS85,4,ZI002570
01CEMCAZ50,10/05/16,200.0,MCS85,4,ZI002616
01CEMCAZ50,10/05/16,100.0,MCS85,4,ZI002723
01CEMCAZ50,10/08/16,300.0,MCS85,4,ZI000448
01CEMCAZ50,10/08/16,300.0,MCS85,4,ZI000483
01CEMCAZ50,10/08/16,300.0,MCS85,4,ZI000506
01CEMCAZ50,10/08/16,120.0,MCS85,4,ZI000889
01CEMCAZ50,10/08/16,150.0,MCS85,4,ZI001156
01PW3000,10/10/16,1.0,MRS2043,0,ZI002880
01BAB1030,13/10/16,462.0,PEJE72,4,ZI002972
01VAR112,14/10/16,50.0,GOAP79,0,ZI002699
06POLH2,21/10/16,500.0,HEMF74,0,ZI002609
05ADAPMPH12,21/10/16,20.0,ZUTL81,1,ZI002893
01CEMCAZ50,28/10/16,80.0,JURF73,0,ZI002997
08POL12,27/10/16,100.0,LOOA941,0,ZI003262
03LAP101268,11/03/16,70.0,AHU01,4,ZI003044
04HPPB141,11/03/16,840.0,AHU01,4,ZI003044
01CEMCAZ50,11/03/16,80.0,AHU01,4,ZI002405
03POL1010,11/03/16,2588.0,AHU01,4,ZI002901
03POL1214,11/03/16,564.0,AHU01,4,ZI002901
05TANB,11/03/16,5.0,AHU01,4,ZI002902
05TAZB,11/03/16,5.0,AHU01,4,ZI002902
01CEMCAZ50,11/04/16,6.0,RODH66,6,ZI003351
01CAL,11/05/16,100.0,SPL96,1,ZI002629
03SOL182,11/11/16,368.0,EAGI80,4,ZI002509
01ALREC,27/03/17,4.0,MCS85,4,ZI004915
01ARM204,27/03/17,8.0,MCS85,4,ZI004915
01BLO15,27/03/17,400.0,MCS85,4,ZI004915
08CAB12,27/03/17,20.0,MCS85,4,ZI004915
08CAJCHR,27/03/17,1.0,MCS85,4,ZI004915
08CAJO4R,27/03/17,1.0,MCS85,4,ZI004915
08POL12,27/03/17,7.0,MCS85,4,ZI004915
GTRAS,27/03/17,1.0,MCS85,4,ZI004915
01CEMCAZ50,27/03/17,25.0,MCS85,4,ZI004915
01MALSOL10,27/03/17,16.0,MCS85,4,ZI004915
01VAR38,27/03/17,17.0,MCS85,4,ZI004915
0647350,27/03/17,1.0,MCS85,4,ZI004915
067593,27/03/17,1.0,MCS85,4,ZI004915
06CLA212,27/03/17,2.0,MCS85,4,ZI004915
01ALAM,15/11/16,400.0,HEGI83,4,ZI002767
01ALREC,15/11/16,50.0,HEGI83,4,ZI002767
01CEMBIG,15/11/16,6.0,HEGI83,4,ZI002767
01VAR38,15/11/16,15.0,HEGI83,4,ZI002767
01CEMBIG,15/11/16,6.0,HEGI83,4,ZI002846
01ALREC,15/11/16,71.4,HEGI83,4,ZI002925
01CEMBIG,15/11/16,16.0,HEGI83,4,ZI002925
03PTR210,15/11/16,3040.0,HEGI83,4,ZI002949
01CAL,15/11/16,3.0,HEGI83,4,ZI002953
01CEMBIG,15/11/16,6.0,HEGI83,4,ZI002953
01BLO15,15/11/16,400.0,HEGI83,4,ZI002955
06PL4,15/11/16,10.2,HEGI83,4,ZI002960
01BLO15,15/11/16,400.0,HEGI83,4,ZI002964
01BLO15,15/11/16,700.0,HEGI83,4,ZI002980
01VAR112,16/11/16,4.0,MAR03,1,ZI002626
01VAR34,16/11/16,6.0,MAR03,1,ZI002626
03PL31058,25/11/16,360.0,OEMI,1,ZI002554
03S126,25/11/16,188.0,OEMI,1,ZI002554
03TC1414,25/11/16,6.0,OEMI,1,ZI002554
01CEMCAZ50,14/12/16,400.0,EAGI80,4,ZI003114
03PTR11211,14/12/16,114.0,JURF73,0,ZI003007
03PTR210,14/12/16,58.0,JURF73,0,ZI003007
01TAR,17/12/16,10.0,HEGI83,4,ZI000898
01TAR,17/12/16,8.0,HEGI83,4,ZI000935
01CEMCAZ50,01/02/17,50.0,TAC1503,0,ZI004318
01CEMCAZ50,01/02/17,50.0,TAC1503,0,ZI004371
01VAR38,01/02/17,20.0,TAC1503,0,ZI004371
01CEMCAZ50,01/02/17,100.0,TAC1503,0,ZI004450
01VAR38,01/02/17,20.0,TAC1503,0,ZI004494
01CEMCAZ50,01/03/17,400.0,MCS85,4,ZI004383
01ALAM,28/12/16,100.0,MCS85,4,ZI003954
01ALREC,28/12/16,50.0,MCS85,4,ZI003954
01CEMCAZ50,28/12/16,120.0,MCS85,4,ZI003954
01CEMCAZ50,29/12/16,48.0,MCS85,4,ZI003904
01BAB1030,29/12/16,1675.84,SIGR76,4,ZI003926
MATV,01/02/17,1.0,BARA74,0,ZI004782
01CEMBIG,16/01/17,8.0,DDI12V,0,ZI004491
01MS135305,23/01/17,192.0,EAGI80,4,ZI004515
01VAR38,23/01/17,2.0,EAGI80,4,ZI004515
04HSO1318,23/01/17,60.0,EAGI80,4,ZI004515
01CEMCAZ50,02/02/17,280.0,MCS85,4,ZI005190
01ALREC,02/02/17,2.5,MCS85,4,ZI005237
01BLO15,02/02/17,1.0,MCS85,4,ZI005237
01CEMCAZ50,02/02/17,12.0,MCS85,4,ZI005237
01VAR112,02/02/17,22.0,MCS85,4,ZI005237
0619372,15/02/17,2.0,RME15,0,ZI005461
01CAL,18/02/17,2.0,01INECMEC,0,ZI005490
01CEMCAZ50,27/02/17,290.0,MRS1987,8,ZI005115
03LA10126450,24/02/17,24.0,PAP07,4,ZI003326
03LG31022,24/02/17,1.0,PAP07,4,ZI003326
03POL46,24/02/17,580.0,PAP07,4,ZI003326
03SOL14112,24/02/17,60.0,PAP07,4,ZI003326
04HDCM14,24/02/17,4.0,PAP07,4,ZI003326
04HPPB14112,24/02/17,200.0,PAP07,4,ZI003326
04HSI2110,24/02/17,4.0,PAP07,4,ZI003326
06REVC,24/02/17,1.0,PAP07,4,ZI003511
01ARM1543,24/02/17,20.0,PAP07,4,ZI003710
01VAR112,24/02/17,100.0,PAP07,4,ZI004844
01VAR38,24/02/17,200.0,PAP07,4,ZI004844
01CEMCAZ50,24/02/17,150.0,PAP07,4,ZI005122
0611752,24/02/17,2.0,PAP07,4,ZI005122
06CARR6,24/02/17,2.0,PAP07,4,ZI005122
06PALT,24/02/17,8.0,PAP07,4,ZI005122
01CEMCAZ50,24/02/17,150.0,PAP07,4,ZI005123
