Claart,Fecrem,Cant
08ACOMAVT,31/08/20,1.0
08ACOMBI,31/08/20,1.0
08ACOMM114,31/08/20,1.0
08ACOMRED,31/08/20,1.0
08TUBA114,31/08/20,1.0
08ACOMVC,31/08/20,1.0
08TUBC12PD,31/08/20,1.0
08CONC12,31/08/20,1.0
08CAB8,31/08/20,10.0
08CENC1,31/08/20,1.0
08PASQ15,31/08/20,1.0
01ARM1538,31/08/20,1.0
01CEMCAZ50,31/08/20,3.0
01ALREC,31/08/20,3.0
01VAR38,31/08/20,3.0
06CLA212,31/08/20,1.0
0621460,31/08/20,1.0
0621475,31/08/20,1.0
03M22518,31/08/20,7.6
01CEMCAZ50,31/08/20,1.0
06PIJ834,31/08/20,200.0
0617831,31/08/20,2.0
04HBISL3,31/08/20,6.0
0644486,31/08/20,15.0
04HPER,31/08/20,2.0
03k30018,31/08/20,16.0
03PTR11214,31/08/20,26.0
SRVBASIND,31/08/20,1.0
03TC3012,02/09/20,1.0
01CEMCAZ50,02/09/20,1.0
01CAL,02/09/20,1.0
01CEMCAZ50,31/08/20,6.0
01CAL,31/08/20,6.0
06CLA4,31/08/20,3.0
01ES,31/08/20,1.0
01ALREC,02/09/20,1.0
06CLA212,31/08/20,1.0
0610548,31/08/20,1.0
08BICPALG,31/08/20,1.0
06MAG175050,31/08/20,10.0
0618101,31/08/20,1.0
01ARM1543,31/08/20,3.0
01ALREC,31/08/20,3.0
06BRIC2,31/08/20,2.0
08TOR14212,31/08/20,6.0
08RON14,31/08/20,6.0
06KOLAKK,31/08/20,1.0
06DD781,31/08/20,1.0
06BRF14,31/08/20,1.0
05PJSR25,31/08/20,1.0
0615684,31/08/20,1.0
0644302,31/08/20,2.0
01CEMCAZ50,31/08/20,3.0
01ALREC,31/08/20,1.0
04HDA733,31/08/20,1.0
04DISCAU778,31/08/20,10.0
03PR10018,03/09/20,2.2
03R250C18,03/09/20,6.1
04HDDC7,03/09/20,1.0
05COPL12,14/09/20,1.0
05CODPL12,14/09/20,1.0
05CODPLH,14/09/20,1.0
01ES,31/08/20,1.0
06CLAC212,31/08/20,0.25
01CEMCAZ50,31/08/20,4.0
01CAL,31/08/20,4.0
03POL36,31/08/20,218.4
01ALAM,31/08/20,10.0
01ALREC,31/08/20,5.0
06DD781,31/08/20,2.0
06CLAC212,31/08/20,1.0
06MARR12,31/08/20,1.0
01ES,31/08/20,4.0
01CEMBC,31/08/20,3.0
SRVBASIND,03/09/20,1.0
05CONEXT12,31/08/20,1.0
06MRT16,31/08/20,1.0
06BRC5166,31/08/20,1.0
SRVBASIND,31/08/20,1.0
05RBC1234,31/08/20,1.0
05CONEXT34,31/08/20,1.0
08TUER14,31/08/20,10.0
08RON14,31/08/20,6.0
04HBISTU12,01/09/20,8.0
01CEMCAZ50,12/10/17,1.0
SRVBASIND,12/10/17,1.0
06PES300T,26/09/19,3.0
0614451,26/09/19,1.0
0643333,26/09/19,1.0
06BRIC6,26/09/19,1.0
0620402,26/02/21,1.0
06LAG125R,26/02/21,2.0
05ADAPIM12,26/09/19,1.0
06ABRASF6,26/09/19,1.0
0611360,26/09/19,1.0
06CINT12,26/09/19,2.0
05NIPPVCIN12,24/07/19,2.0
06ABRASF6,24/07/19,2.0
06POLH12,24/07/19,10.0
01CEMCAZ50,24/01/20,10.0
01CAL,24/01/20,2.0
01CEMCAZ50,24/01/20,10.0
01EST1525,24/01/20,1.9
06CLA212,24/01/20,5.0
06CLAC212,24/01/20,1.0
01ALREC,24/01/20,5.0
01ARM204,24/01/20,5.0
01VAR38,24/01/20,50.0
01CEMCAZ50,24/01/20,30.0
0643318,24/01/20,1.0
SRVBASIND,12/01/18,1.0
02ECAG6305,10/01/19,7.0
04HCDAD,10/01/19,1.0
02EES305,10/01/19,10.0
04HREM,10/01/19,100.0
01EST1520,10/01/19,10.6
SRVBASIND,10/01/19,1.0
04REM1812,13/04/20,100.0
06CLA1,16/06/18,1.0
01CEMCAZ50,10/10/18,1.0
01CEMCAZ50,10/10/18,6.0
01CAL,10/10/18,4.0
04HPALCN,10/10/18,2.0
01PBC25,10/10/18,1.0
05COPPVCH12,18/06/18,6.0
05TEEPVCH12,18/06/18,2.0
04HDCM14,05/05/18,4.0
0621025,19/06/18,1.0
062503,19/06/18,1.0
06DD781,06/07/18,3.0
01VAR38,06/07/18,10.0
01COMB34,06/07/18,1.0
06ESPON,31/08/20,2.0
SRVBASIND,31/08/20,1.0
06CUCHDES,31/08/20,1.0
03101AL20Z,31/08/20,17.4
03103TS20Z,31/08/20,12.8
03VCAR12,31/08/20,23.1
03101AL18,31/08/20,14.8
06FEL4,31/08/20,1.0
03SOL1812,31/08/20,4.0
0617629,31/08/20,1.0
04DISCAU778,26/08/20,3.0
03POL36,31/08/20,364.8
06BRF38,31/08/20,1.0
06FRANE,02/09/20,1.0
03PP10020,01/09/20,12.4
03TAB33,01/09/20,12.4
03K30020,01/09/20,6.0
0614182,01/09/20,1.0
06FRANE,03/09/20,1.0
06MASC,03/09/20,1.0
01CEMCAZ50,29/08/20,4.0
05REGUS,29/08/20,1.0
05COFG3838,29/08/20,1.0
06CINT12,29/08/20,1.0
01ALREC,29/08/20,10.0
08BICPALG,29/08/20,4.0
01CEMCAZ50,29/08/20,2.0
06CLA4,29/08/20,0.5
06CLA212,29/08/20,0.5
01EST1520,29/08/20,50.0
0619074,29/08/20,1.0
01EST1525,09/09/20,18.0
01CEMMCA50,29/08/20,1.0
01ARM1538,29/08/20,1.0
01CEMCAZ50,29/08/20,2.0
0612590,29/08/20,2.0
04HSO1818,29/08/20,1.25
01LANDRB,29/08/20,100.0
0614577,29/08/20,1.0
05COPPVCH12,29/08/20,5.0
05CODIN12,29/08/20,2.0
06ABRASF6,29/08/20,8.0
05NUDCAB14,29/08/20,12.0
05CODPVCH12,29/08/20,4.0
05TEEPVCH12,29/08/20,3.0
08CAB10,29/08/20,20.0
06CINAIS6018,29/08/20,1.0
06MAG10175,29/08/20,2.0
01ALREC,29/08/20,1.0
0615948,02/09/20,2.0
0615901,02/09/20,3.0
01ALAM,02/09/20,49.0
01CEMCAZ50,29/08/20,1.0
06COLCR,29/08/20,1.0
05TUBGALV5138,29/08/20,0.5
01ALREC,02/09/20,60.0
06CLA212,02/09/20,25.0
06CLAC212,02/09/20,5.0
08APAGMON,29/08/20,3.0
08PLAMON2,29/08/20,2.0
08PLAMON3,29/08/20,1.0
03ANG18112,29/08/20,5.9
03PC10018,29/08/20,11.6
03PC12518,29/08/20,7.2
05LLAAST,29/08/20,3.0
