Claart,Desart,Cant,Fec
06ALPN34,Alambre puas 34 kg Novillo,60.0,24/07/18
06ALPN34,Alambre puas 34 kg Novillo,12.0,01/08/18
06ALPN34,Alambre puas 34 kg Novillo,4.0,30/08/18
06ALPN34,Alambre puas 34 kg Novillo,2.0,31/08/18
06ALPN34,Alambre puas 34 kg Novillo,1.0,07/09/18
06ALPN34,Alambre puas 34 kg Novillo,5.0,13/09/18
06ALPN34,Alambre puas 34 kg Novillo,30.0,18/09/18
06ALPN34,Alambre puas 34 kg Novillo,10.0,22/09/18
06ALPN34,Alambre puas 34 kg Novillo,20.0,13/10/18
06ALPN34,Alambre puas 34 kg Novillo,1.0,13/11/18
06ALPN34,Alambre puas 34 kg Novillo,1.0,27/11/18
06ALPN34,Alambre puas 34 kg Novillo,16.0,28/05/19
06ALPN34,Alambre puas 34 kg Novillo,1.0,28/06/19
06ALPN34,Alambre puas 34 kg Novillo,10.0,02/07/19
06ALPN34,Alambre puas 34 kg Novillo,15.0,29/07/19
06ALPN34,Alambre puas 34 kg Novillo,15.0,09/08/19
06ALPN34,Alambre puas 34 kg Novillo,15.0,15/08/19
06ALPN34,Alambre puas 34 kg Novillo,38.0,21/08/19
06ALPN34,Alambre puas 34 kg Novillo,14.0,24/08/19
06ALPN34,Alambre puas 34 kg Novillo,5.0,17/01/20
06ALPN34,Alambre puas 34 kg Novillo,20.0,05/02/20
06ALPN34,Alambre puas 34 kg Novillo,1.0,08/04/20
06ALPN34,Alambre puas 34 kg Novillo,2.0,09/05/20
06ALPN34,Alambre puas 34 kg Novillo,1.0,23/06/20
06ALPN34,Alambre puas 34 kg Novillo,6.0,06/07/20
06ALPN34,Alambre puas 34 kg Novillo,2.0,11/07/20
06ALPN34,Alambre puas 34 kg Novillo,1.0,07/10/20
06ALPN34,Alambre puas 34 kg Novillo,3.0,05/11/20
06ALPN34,Alambre puas 34 kg Novillo,2.0,07/11/20
06ALPN34,Alambre puas 34 kg Novillo,1.0,28/11/20
06ALPN34,Alambre puas 34 kg Novillo,6.0,15/12/20
06ALPN34,Alambre puas 34 kg Novillo,1.0,02/01/21
06ALPN34,Alambre puas 34 kg Novillo,1.0,05/01/21
06ALPN34,Alambre puas 34 kg Novillo,1.0,15/01/21
06ALPN34,Alambre puas 34 kg Novillo,2.0,28/01/21
06ALPN34,Alambre puas 34 kg Novillo,10.0,04/02/21
06ALPN34,Alambre puas 34 kg Novillo,2.0,11/02/21
06ALPN34,Alambre puas 34 kg Novillo,1.0,16/02/21
06ALPN34,Alambre puas 34 kg Novillo,1.0,27/02/21
06ALPN34,Alambre puas 34 kg Novillo,3.0,08/03/21
06ALPN34,Alambre puas 34 kg Novillo,3.0,09/03/21
06ALPN34,Alambre puas 34 kg Novillo,7.0,12/03/21
06ALPN34,Alambre puas 34 kg Novillo,10.0,22/03/21
06ALPN34,Alambre puas 34 kg Novillo,1.0,30/03/21
06ALPN34,Alambre puas 34 kg Novillo,1.0,17/05/21
06ALPN34,Alambre puas 34 kg Novillo,2.0,31/05/21
06ALPN34,Alambre puas 34 kg Novillo,12.0,24/06/21
06ALPN34,Alambre puas 34 kg Novillo,2.0,05/07/21
06ALPN34,Alambre puas 34 kg Novillo,1.0,20/07/21
06ALPN34,Alambre puas 34 kg Novillo,3.0,06/08/21
06ALPN34,Alambre puas 34 kg Novillo,8.0,20/09/21
06ALPN34,Alambre puas 34 kg Novillo,3.0,02/10/21
06ALPN34,Alambre puas 34 kg Novillo,1.0,04/10/21
06ALPN34,Alambre puas 34 kg Novillo,1.0,12/10/21
06ALPN34,Alambre puas 34 kg Novillo,1.0,15/11/21
06ALPN34,Alambre puas 34 kg Novillo,1.0,30/11/21
06ALPN34,Alambre puas 34 kg Novillo,4.0,06/12/21
06ALPN34,Alambre puas 34 kg Novillo,6.0,08/12/21
06ALPN34,Alambre puas 34 kg Novillo,1.0,09/12/21
06ALPN34,Alambre puas 34 kg Novillo,2.0,20/12/21
06ALPN34,Alambre puas 34 kg Novillo,1.0,30/12/21
06ALPN34,Alambre puas 34 kg Novillo,1.0,11/01/22
06ALPN34,Alambre puas 34 kg Novillo,3.0,12/01/22
06ALPN34,Alambre puas 34 kg Novillo,2.0,15/01/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,17/01/22
06ALPN34,Alambre puas 34 kg Novillo,3.0,25/01/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,01/02/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,02/02/22
06ALPN34,Alambre puas 34 kg Novillo,5.0,25/02/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,02/03/22
06ALPN34,Alambre puas 34 kg Novillo,9.0,14/03/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,24/03/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,30/03/22
06ALPN34,Alambre puas 34 kg Novillo,8.0,08/04/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,06/05/22
06ALPN34,Alambre puas 34 kg Novillo,50.0,24/05/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,18/07/22
06ALPN34,Alambre puas 34 kg Novillo,3.0,12/08/22
06ALPN34,Alambre puas 34 kg Novillo,20.0,18/08/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,30/08/22
06ALPN34,Alambre puas 34 kg Novillo,3.0,06/09/22
06ALPN34,Alambre puas 34 kg Novillo,3.0,10/10/22
06ALPN34,Alambre puas 34 kg Novillo,2.0,01/11/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,10/11/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,14/11/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,15/11/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,16/11/22
06ALPN34,Alambre puas 34 kg Novillo,5.0,25/11/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,28/11/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,30/11/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,07/12/22
06ALPN34,Alambre puas 34 kg Novillo,3.0,09/12/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,12/12/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,21/12/22
06ALPN34,Alambre puas 34 kg Novillo,2.0,22/12/22
06ALPN34,Alambre puas 34 kg Novillo,1.0,03/01/23
06ALPN34,Alambre puas 34 kg Novillo,3.0,04/01/23
06ALPN34,Alambre puas 34 kg Novillo,1.0,23/01/23
06ALPN34,Alambre puas 34 kg Novillo,3.0,17/02/23
06ALPN34,Alambre puas 34 kg Novillo,1.0,27/02/23
06ALPN34,Alambre puas 34 kg Novillo,1.0,06/03/23
06ALPN34,Alambre puas 34 kg Novillo,1.0,29/04/23
06ALPN34,Alambre puas 34 kg Novillo,16.0,08/05/23
06ALPN34,Alambre puas 34 kg Novillo,3.0,16/05/23
06ALPN34,Alambre puas 34 kg Novillo,12.0,15/06/23
06ALPN34,Alambre puas 34 kg Novillo,1.0,17/06/23
06ALPN34,Alambre puas 34 kg Novillo,25.0,21/06/23
06ALPN34,Alambre puas 34 kg Novillo,6.0,27/06/23
06ALPN34,Alambre puas 34 kg Novillo,1.0,15/07/23
06ALPN34,Alambre puas 34 kg Novillo,6.0,21/07/23
06ALPN34,Alambre puas 34 kg Novillo,1.0,26/07/23
06ALPN34,Alambre puas 34 kg Novillo,10.0,27/07/23
06ALPN34,Alambre puas 34 kg Novillo,3.0,29/07/23
06ALPN34,Alambre puas 34 kg Novillo,1.0,04/08/23
06ALPN34,Alambre puas 34 kg Novillo,6.0,21/08/23
06ALPN34,Alambre puas 34 kg Novillo,1.0,05/09/23
06ALPN34,Alambre puas 34 kg Novillo,4.0,19/09/23
06ALPN34,Alambre puas 34 kg Novillo,2.0,20/09/23
06ALPN34,Alambre puas 34 kg Novillo,1.0,22/09/23
06ALPN34,Alambre puas 34 kg Novillo,4.0,05/10/23
06ALPN34,Alambre puas 34 kg Novillo,1.0,10/10/23
06ALPN34,Alambre puas 34 kg Novillo,5.0,31/10/23
06ALPN34,Alambre puas 34 kg Novillo,4.0,06/11/23
06ALPN34,Alambre puas 34 kg Novillo,5.0,15/11/23
06ALPN34,Alambre puas 34 kg Novillo,1.0,16/11/23
