Claart,Desart,Cant,Fec
06ALPN34,Alambre puas 34 kg Novillo,60.0,2018-07-24
06ALPN34,Alambre puas 34 kg Novillo,12.0,2018-01-08
06ALPN34,Alambre puas 34 kg Novillo,4.0,2018-08-30
06ALPN34,Alambre puas 34 kg Novillo,2.0,2018-08-31
06ALPN34,Alambre puas 34 kg Novillo,1.0,2018-07-09
06ALPN34,Alambre puas 34 kg Novillo,5.0,2018-09-13
06ALPN34,Alambre puas 34 kg Novillo,30.0,2018-09-18
06ALPN34,Alambre puas 34 kg Novillo,10.0,2018-09-22
06ALPN34,Alambre puas 34 kg Novillo,20.0,2018-10-13
06ALPN34,Alambre puas 34 kg Novillo,1.0,2018-11-13
06ALPN34,Alambre puas 34 kg Novillo,1.0,2018-11-27
06ALPN34,Alambre puas 34 kg Novillo,16.0,2019-05-28
06ALPN34,Alambre puas 34 kg Novillo,1.0,2019-06-28
06ALPN34,Alambre puas 34 kg Novillo,10.0,2019-02-07
06ALPN34,Alambre puas 34 kg Novillo,15.0,2019-07-29
06ALPN34,Alambre puas 34 kg Novillo,15.0,2019-09-08
06ALPN34,Alambre puas 34 kg Novillo,15.0,2019-08-15
06ALPN34,Alambre puas 34 kg Novillo,38.0,2019-08-21
06ALPN34,Alambre puas 34 kg Novillo,14.0,2019-08-24
06ALPN34,Alambre puas 34 kg Novillo,5.0,2020-01-17
06ALPN34,Alambre puas 34 kg Novillo,20.0,2020-05-02
06ALPN34,Alambre puas 34 kg Novillo,1.0,2020-08-04
06ALPN34,Alambre puas 34 kg Novillo,2.0,2020-09-05
06ALPN34,Alambre puas 34 kg Novillo,1.0,2020-06-23
06ALPN34,Alambre puas 34 kg Novillo,6.0,2020-06-07
06ALPN34,Alambre puas 34 kg Novillo,2.0,2020-11-07
06ALPN34,Alambre puas 34 kg Novillo,1.0,2020-07-10
06ALPN34,Alambre puas 34 kg Novillo,3.0,2020-05-11
06ALPN34,Alambre puas 34 kg Novillo,2.0,2020-07-11
06ALPN34,Alambre puas 34 kg Novillo,1.0,2020-11-28
06ALPN34,Alambre puas 34 kg Novillo,6.0,2020-12-15
06ALPN34,Alambre puas 34 kg Novillo,1.0,2021-02-01
06ALPN34,Alambre puas 34 kg Novillo,1.0,2021-05-01
06ALPN34,Alambre puas 34 kg Novillo,1.0,2021-01-15
06ALPN34,Alambre puas 34 kg Novillo,2.0,2021-01-28
06ALPN34,Alambre puas 34 kg Novillo,10.0,2021-04-02
06ALPN34,Alambre puas 34 kg Novillo,2.0,2021-11-02
06ALPN34,Alambre puas 34 kg Novillo,1.0,2021-02-16
06ALPN34,Alambre puas 34 kg Novillo,1.0,2021-02-27
06ALPN34,Alambre puas 34 kg Novillo,3.0,2021-08-03
06ALPN34,Alambre puas 34 kg Novillo,3.0,2021-09-03
06ALPN34,Alambre puas 34 kg Novillo,7.0,2021-12-03
06ALPN34,Alambre puas 34 kg Novillo,10.0,2021-03-22
06ALPN34,Alambre puas 34 kg Novillo,1.0,2021-03-30
06ALPN34,Alambre puas 34 kg Novillo,1.0,2021-05-17
06ALPN34,Alambre puas 34 kg Novillo,2.0,2021-05-31
06ALPN34,Alambre puas 34 kg Novillo,12.0,2021-06-24
06ALPN34,Alambre puas 34 kg Novillo,2.0,2021-05-07
06ALPN34,Alambre puas 34 kg Novillo,1.0,2021-07-20
06ALPN34,Alambre puas 34 kg Novillo,3.0,2021-06-08
06ALPN34,Alambre puas 34 kg Novillo,8.0,2021-09-20
06ALPN34,Alambre puas 34 kg Novillo,3.0,2021-02-10
06ALPN34,Alambre puas 34 kg Novillo,1.0,2021-04-10
06ALPN34,Alambre puas 34 kg Novillo,1.0,2021-12-10
06ALPN34,Alambre puas 34 kg Novillo,1.0,2021-11-15
06ALPN34,Alambre puas 34 kg Novillo,1.0,2021-11-30
06ALPN34,Alambre puas 34 kg Novillo,4.0,2021-06-12
06ALPN34,Alambre puas 34 kg Novillo,6.0,2021-08-12
06ALPN34,Alambre puas 34 kg Novillo,1.0,2021-09-12
06ALPN34,Alambre puas 34 kg Novillo,2.0,2021-12-20
06ALPN34,Alambre puas 34 kg Novillo,1.0,2021-12-30
06ALPN34,Alambre puas 34 kg Novillo,1.0,2022-11-01
06ALPN34,Alambre puas 34 kg Novillo,3.0,2022-12-01
06ALPN34,Alambre puas 34 kg Novillo,2.0,2022-01-15
06ALPN34,Alambre puas 34 kg Novillo,1.0,2022-01-17
06ALPN34,Alambre puas 34 kg Novillo,3.0,2022-01-25
