Claart,Fecncre,Cant,Clacli,Clatipcli
04HBISPR100,31/08/20,8.0,RODH66,6
0614687,31/08/20,1.0,RODH66,6
06GAR20,31/08/20,4.0,RODH66,6
0624069,31/08/20,1.0,RODH66,6
04HPPB141,31/08/20,100.0,RODH66,6
0549365,31/08/20,3.0,RODH66,6
05LLAIPL,31/08/20,1.0,RODH66,6
06CINT12,31/08/20,1.0,RODH66,6
06FRANE,31/08/20,1.0,RODH66,6
06PES300T,31/08/20,1.0,RODH66,6
06PINESMAZ1,31/08/20,2.0,RODH66,6
06T501,31/08/20,4.0,RODH66,6
03LAMPOLICA1020,31/08/20,2.0,RODH66,6
06PES300T,31/08/20,2.0,RODH66,6
0616705,31/08/20,1.0,RODH66,6
03LA10126500,20/09/17,3.0,MCS85,4
01CEMCAZ50,20/09/17,400.0,MCS85,4
04CORTMM,20/09/17,1.0,MCS85,4
04HDCM14,20/09/17,3.0,MCS85,4
01TRIPL58,20/09/17,58.0,MCS85,4
01ALAM,20/09/17,200.0,MCS85,4
01ALREC,20/09/17,50.0,MCS85,4
01VAR38,20/09/17,25.0,MCS85,4
05ABRU12,09/03/20,30.0,RODH66,6
06CDCC9P013,09/03/20,32.0,RODH66,6
06CJCHP,09/03/20,10.0,RODH66,6
08C3M,09/03/20,1.0,RODH66,6
08PASS40,09/03/20,1.0,RODH66,6
08CAB12,09/03/20,150.0,RODH66,6
08FZA512,09/03/20,2.0,RODH66,6
08FZA68S,09/03/20,4.0,RODH66,6
08FZA90,09/03/20,16.0,RODH66,6
08PASQ20,09/03/20,3.0,RODH66,6
08PASQ30,09/03/20,4.0,RODH66,6
08TUBCPVC12TP,09/03/20,10.0,RODH66,6
01ALREC,09/03/20,4.0,RODH66,6
01ARM1543,09/03/20,9.0,RODH66,6
01CAL,09/03/20,4.0,RODH66,6
01CEMCAZ50,09/03/20,10.0,RODH66,6
06CLA212,09/03/20,2.0,RODH66,6
01CEMBIG,01/12/18,4.0,RODH66,6
03SOL1812,16/12/16,40.0,MAPM62,4
01CEMCAZ50,16/12/16,200.0,SIGR76,4
03LAMLC24,29/03/16,16.0,ASO15,0
01CEMBIG,04/08/16,6.0,MSL08,4
01ALAM,14/05/16,50.0,VESR86,0
01CEMBIG,04/01/16,6.0,MSL08,4
03POL36,04/01/16,18900.0,GASC76,8
01CEMBIG,04/06/16,10.0,MSL08,4
03POL36,04/04/16,17340.0,GASC76,8
01CEMBIG,04/04/16,8.0,MSL08,4
01CEMZ,03/10/16,1020.0,GASC76,8
01CEMZ,04/07/16,1020.0,GASC76,8
01CEMCAZ50,07/07/16,15.0,VESR86,0
01CEMCAZ50,07/07/16,2.0,VESR86,0
01CEMCAZ50,14/08/17,80.0,PED02,0
0611876,31/08/20,2.0,RODH66,6
0615566ALL,31/08/20,1.0,RODH66,6
0619679,31/08/20,1.0,RODH66,6
0616917,31/08/20,1.0,RODH66,6
0618132,31/08/20,1.0,RODH66,6
02TORE118,31/08/20,100.0,RODH66,6
04DSA12100,31/08/20,2.0,RODH66,6
04PER12,31/08/20,1.0,RODH66,6
05LIJ,31/08/20,1.0,RODH66,6
0616277,31/08/20,1.0,RODH66,6
0616682,31/08/20,1.0,RODH66,6
0846202,09/03/20,1.0,RODH66,6
06PALCD,29/08/20,1.0,RODH66,6
05PEDIS,29/08/20,1.0,RODH66,6
0614388,09/02/20,1.0,RODH66,6
0846202,09/02/20,1.0,RODH66,6
02TORS3,09/02/20,100.0,RODH66,6
01ES,28/08/20,1.0,RODH66,6
0612783,28/08/20,1.0,RODH66,6
08CAB10,28/08/20,100.0,RODH66,6
08CAB12,28/08/20,200.0,RODH66,6
08CAB14,28/08/20,50.0,RODH66,6
08CAB16,28/08/20,100.0,RODH66,6
08TAPAC,28/08/20,1.0,RODH66,6
02PANN2,28/08/20,3.0,RODH66,6
