Claart,Descripción,Existencia,Stock Minimo,Stock Maximo,Stock de Seguridad,Recomendacion
01ACC,Acelerante concreto,394.0,84.0,168.0,14.0,-226.0
01ADN,Adoquin Natural 6x10x20,991.0,350.0,700.0,150.0,-291.0
01BAB1030,Barroblk 10x30x30 3agujeros,10628.0,3308.7894736842104,6617.578947368421,1418.0526315789473,-4010.421052631579
01TES,Teja esparta 38 cm,997.0,805.0,1610.0,345.0,0.0
01ALAM,Alambron,5687.914,0.0,0.0,0.0,-5687.914
01VAR112,Varilla corr 1/2 x 12m,388.0,0.0,0.0,0.0,-388.0
06CLA112,Clavo 1 1/2,177.485,0.0,0.0,0.0,-177.485
06CLA3,Clavo 3,476.105,0.0,0.0,0.0,-476.105
06CLAC1,Clavo concreto 1,153.425,0.0,0.0,0.0,-153.425
06CLAC112,Clavo concreto 1 1/2,197.84,0.0,0.0,0.0,-197.84
06CLAC2,Clavo concreto 2,703.895,0.0,0.0,0.0,-703.895
06CLAC212,Clavo concreto 2 1/2,1152.071,0.0,0.0,0.0,-1152.071
06MACI1015,Malla ciclonica 10.5x1.50 m,10.7,0.0,0.0,0.0,-10.7
01ALREC,Alambre recocido,7111.674,499.09292307692306,998.1858461538461,83.18215384615384,-6113.488153846154
06ALPN34,Alambre puas 34 kg Novillo,41.0,27.0,54.0,4.5,0.0
06APH360,Alambre Puas Huasteco C15.5 360 ml,21.0,54.0,108.0,9.0,33.0
01ARCRI,Arena Cribada en Costal,77.0,8.166666666666668,16.333333333333336,3.5,-60.666666666666664
01ARE,Arena #5,53.0,14.205882352941176,28.41176470588235,6.088235294117647,-24.58823529411765
01ARE4,Arena no. 4,6.0,7.0,14.0,3.0,1.0
01ARECOS,Arena en costal,1.5,3.5,7.0,1.5,2.0
01BLO10,Block 10x20x40,378.0,753.375,1506.75,322.875,375.375
01BLO12,Block 12x20x40,489.0,1155.0,2310.0,495.0,666.0
