"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","Pedren","peso","Numfac","Numped","canfon","unaen","claofe","bannc","claofe2","preofe","claofe3","claaalt","Clauni","cant2","preven","objimp"
"1","01CEMBIG","2650","8","0","yes","2056.2338","16","0","38175","0","0","ZINS0726","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMBIG","2650","2","0","yes","2056.2338","16","0","38599","0","0","ZINS0727","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","139","230","0","yes","109.4825","16","0","38850","0","0","ZINS0722","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","138","70","0","yes","109.4825","16","0","69836","0","0","ZINS0724","","0","no","0","no","0","0","0","","1","0","0",""
"3","06CLA212","30.364","5","0","yes","15.467","16","0","72529","0","0","ZINS0721","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ARM1543","150","10","0","yes","92","16","0","72529","0","0","ZINS0721","","0","no","0","no","0","0","0","","1","0","0",""
"2","06CLA112","43","1","0","yes","25.8944","16","0","72529","0","0","ZINS0721","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","138","220","0","yes","109.4825","16","0","72707","0","0","ZINS0720","","0","no","0","no","0","0","0","","1","0","0",""
"2","01ARM1543","150","6","0","yes","92","16","0","76091","0","0","ZINS0719","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ALAM","22.041","4.31","0","yes","12.0495","16","0","76091","0","0","ZINS0719","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","138","80","0","yes","109.4825","16","0","76262","0","0","ZINS0718","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","136","100","0","yes","109.4825","16","0","78366","0","0","ZINS0717","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMAGR","2360","26.18","0","yes","1948.2801","16","0","79798","0","0","ZINS0715","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","202","4","0","yes","143.5344","16","0","618262","0","0","ZINS3384","","0","no","0","no","0","0","0","","1","0","0",""
"2","01LADR5","4.4","300","0","yes","3","16","0","618262","0","0","ZINS3384","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ALAM","23.6","100","0","yes","14.2","16","0","625532","0","0","ZINS0986","","0","no","0","no","0","0","0","","1","0","0",""
"2","01ALREC","25.5","50","0","yes","16.5","16","0","625532","0","0","ZINS0986","","0","no","0","no","0","0","0","","1","0","0",""
"3","01BLO10","9.2","450","0","yes","5.8621","16","0","625532","0","0","ZINS0986","","0","no","0","no","0","0","0","","1","0","0",""
"4","01BLO15","9.7","200","0","yes","6.1207","16","0","625532","0","0","ZINS0986","","0","no","0","no","0","0","0","","1","0","0",""
"5","01CAL","74","10","0","yes","47.4138","16","0","625532","0","0","ZINS0986","","0","no","0","no","0","0","0","","1","0","0",""
"6","01CEMCAZ50","173","50","0","yes","116.8105","16","0","625532","0","0","ZINS0986","","0","no","0","no","0","0","0","","1","0","0",""
"7","06POLH2","36.7","200","0","yes","19.85397","16","0","625532","0","0","ZINS0986","","0","no","0","no","0","0","0","","1","0","0",""
"8","06RB167","1349","2","0","yes","856.57759","16","0","625532","0","0","ZINS0986","","0","no","0","no","0","0","0","","1","0","0",""
"9","GTRAS","2806","2","0","yes","1","16","0","625532","0","0","ZINS0986","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","130","850","0","yes","110.345","16","0","640398","0","0","ZINS0337","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","147","2","0","yes","110.776","16","0","727603","0","0","ZINS0043","","0","no","0","no","0","0","0","","1","0","0",""
"1","05TINRTT1100","2364","2","0","yes","1651.36","16","0","748315","0","0","ZINS0001","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ARM12204","147","10","0","yes","94.47","16","0","838245","0","0","ZINS0004","","0","no","0","no","0","0","0","","1","0","0",""
"2","01ARM123","147","50","0","yes","84.42","16","0","838245","0","0","ZINS0004","","0","no","0","no","0","0","0","","1","0","0",""
"3","01MALSOL10","22.18","100","0","yes","13.065","16","0","838245","0","0","ZINS0004","","0","no","0","no","0","0","0","","1","0","0",""
"4","01MAS44","66.88","300","0","yes","38.19","16","0","838245","0","0","ZINS0004","","0","no","0","no","0","0","0","","1","0","0",""
"1","05CAJP","600","10","0","yes","383.3275","16","0","838274","0","0","ZINS0002","","0","no","0","no","0","0","0","","1","0","0",""
"1","01ARM12204","147","10","0","yes","94.47","16","0","838282","0","0","ZINS0003","","0","no","0","no","0","0","0","","1","0","0",""
"2","01ARM123","147","50","0","yes","84.42","16","0","838282","0","0","ZINS0003","","0","no","0","no","0","0","0","","1","0","0",""
"3","01MALSOL10","22.18","100","0","yes","13.065","16","0","838282","0","0","ZINS0003","","0","no","0","no","0","0","0","","1","0","0",""
"4","01MAS44","66.88","300","0","yes","38.19","16","0","838282","0","0","ZINS0003","","0","no","0","no","0","0","0","","1","0","0",""
"1","01VAR38","124","20","0","yes","90.5023","16","0","838859","0","0","ZINS0005","","0","no","0","no","0","0","0","","1","0","0",""
"1","01VART6014","38","300","0","yes","22.8765","16","0","841135","0","0","ZINS0008","","0","no","0","no","0","0","0","","1","0","0",""
"1","05CIS10MIL","19628.78787",".33","0","yes","16035.5","16","0","843235","0","0","ZINS0006","","0","no","0","no","0","0","0","","1","0","0",""
"1","05CIS10MIL","20149.25373",".67","0","yes","16035.5","16","0","843265","0","0","ZINS0007","","0","no","0","no","0","0","0","","1","0","0",""
"1","01VART6014","38","80","0","yes","22.8765","16","0","845537","0","0","ZINS0009","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","147","5","0","yes","110.77599","16","0","846164","0","0","ZINS0011","","0","no","0","no","0","0","0","","1","0","0",""
"1","01CEMCAZ50","147","5","0","yes","110.77599","16","0","846362","0","0","ZINS0010","","0","no","0","no","0","0","0","","1","0","0",""
"1","05CAJP","600","16","0","yes","360.56179","16","0","847448","0","0","ZINS0013","","0","no","0","no","0","0","0","","1","0","0",""
