"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncre","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"1","03PERC050","33","2.8","0","yes","21.8","16","0","38627","0","ZID01251","ZI030414","yes","0","","0",""
"2","03VCUA12","22.7","15.6","0","yes","13.9","16","0","38627","0","ZID01251","ZI030414","yes","0","","0",""
"3","04HBISL3","11","6","0","yes","6.09","16","0","38627","0","ZID01251","ZI030414","yes","0","","0",""
"4","06PIJ834",".3","200","0","yes",".17","16","0","38627","0","ZID01251","ZI030414","yes","0","","0",""
"1","01CEMCAZ50","125","300","0","yes","97.41","16","0","50692","0","ZID00004","ZI000060","yes","0","","0",""
"1","01CEMCAZ50","128","360","0","yes","94.181","16","0","54176","0","ZID00005","ZI000074","yes","0","","0",""
"1","01CEMCAZ50","125","50","0","yes","94.181","16","0","54180","0","ZID00006","ZI000080","yes","0","","0",""
"1","01CEMCAZ50","125","400","0","yes","94.181","16","0","54184","0","ZID00007","ZI000147","yes","0","","0",""
"1","01ARM124","160","26","0","yes","125.375","16","0","58181","0","ZID00535","ZI014107","yes","0","","0",""
"2","01MALSOL6","48","400","0","yes","34.6043","16","0","58181","0","ZID00535","ZI014107","yes","0","","0",""
"3","01VAR38","130","25","0","yes","103.4083","16","0","58181","0","ZID00535","ZI014107","yes","0","","0",""
"1","01ARM124","160","4","0","yes","125.375","16","0","58189","0","ZID00536","ZI014244","yes","0","","0",""
"2","01VAR38","130","6","0","yes","103.4083","16","0","58189","0","ZID00536","ZI014244","yes","0","","0",""
"1","01CEMCAZ50","125","300","0","yes","85.5602","16","0","58858","0","ZID00001","ZI000054","yes","0","","0",""
"1","01CEMCAZ50","125","60","0","yes","85.5602","16","0","58862","0","ZID00002","ZI000056","yes","0","","0",""
"1","01CEMCAZ50","125","60","0","yes","97.41","16","0","58866","0","ZID00003","ZI000059","yes","0","","0",""
"1","05ADAPHPK12","73","21","0","yes","46.18","16","0","74142","0","ZID01250","ZI030400","yes","0","","0",""
"1","03POL1214","25.8","192","0","yes","18.61","16","0","78793","0","ZID01249","ZI027642","yes","0","","0",""
"2","03POL56","25.8","66","0","yes","14.4","16","0","78793","0","ZID01249","ZI027642","yes","0","","0",""
"3","03VRED34","23.3","13.6","0","yes","15.65","16","0","78793","0","ZID01249","ZI027642","yes","0","","0",""
"4","04HDD412","28","2","0","yes","18.69","16","0","78793","0","ZID01249","ZI027642","yes","0","","0",""
