"Clapro","Refori","Fecfac","Fecven","Monto","Estado","Miva","MImp2","MDes","Mcosto","Piva","Pimp2","PDes","Nummov","Numfac","Facpro","Mfondo","Numuser","nusercan"
"THE7911","","24/09/15","24/09/15","5596.18","yes","4824.29","0","0","0","16","0","0","69786","00000001","314046756","0","0","0"
"IFN03","","24/09/15","24/09/15","44904.61","yes","38710.87","0","0","0","16","0","0","72119","00000002","14752","0","0","0"
"DTC02","","24/09/15","24/09/15","66280.9","yes","57138.71","0","0","0","16","0","0","72125","00000003","7293","0","0","0"
"RE7804","","24/09/15","24/09/15","87174","yes","75150","0","0","0","16","0","0","71007","00000004","1","0","0","0"
"AME75","","26/09/15","26/09/15","82058.4","yes","70740","0","0","0","16","0","0","71353","00000005","44650","0","0","0"
"OEVJ71","","29/09/15","29/09/15","7199.95","yes","6206.85","0","0","0","16","0","0","70327","00000006","8763","0","0","0"
"DTC02","","29/09/15","29/09/15","3571.05","yes","3078.49","0","0","0","16","0","0","69601","00000007","7395","0","0","0"
"IMP10","","30/09/15","30/09/15","18150.46","yes","15646.94","0","0","0","16","0","0","70738","00000008","2477","0","0","0"
"OEVJ71","","01/10/15","01/10/15","7349.9","yes","7349.9","0","0","6336.12","16","0","0","70746","00000009","8766","0","0","0"
"HESA76","","01/10/15","01/10/15","35728","yes","30800","0","0","0","16","0","0","70607","00000010","45","0","0","0"
"RE7804","","01/10/15","01/10/15","25404","yes","21900","0","0","0","16","0","0","70857","00000011","22","0","0","0"
"TUB00","","05/10/15","05/10/15","2938.63","yes","2533.3","0","0","0","16","0","0","70177","00000012","2028","0","0","0"
"TPB94","","05/10/15","05/10/15","76025.4","yes","65539.14","0","0","0","16","0","0","70199","00000013","4183","0","0","0"
"YIRJ75","","06/10/15","06/10/15","66532","yes","0","66532","0","0","0","0","0","70226","00000014","303","0","0","0"
"OEVJ71","","06/10/15","06/10/15","14399.89","no","12413.7","0","0","0","16","0","0","69590","00000015","8781-8779","0","0","0"
"OEVJ71","","07/10/15","07/10/15","11759.84","yes","11759.84","0","0","10137.82","16","0","0","78155","00000016","8783-8785","0","0","0"
"SPO12","","09/10/15","09/10/15","44407.47","yes","38282.3","0","0","0","16","0","0","80217","00000017","3615","0","0","0"
"DEA710","","09/10/15","09/10/15","53626.86","yes","46230.05","0","0","0","16","0","0","79162","00000018","400450","0","0","0"
"MAL00","","09/10/15","09/10/15","250095.91","yes","215599.92","0","0","0","16","0","0","77348","00000019","3779","0","0","0"
"OEVJ71","","12/10/15","12/10/15","14609.97","no","12594.81","0","0","0","16","0","0","77367","00000020","8789-8790-8792","0","0","0"
"OEVJ71","","13/10/15","13/10/15","9215.93","no","7944.77","0","0","0","16","0","0","80009","00000021","8795","0","0","0"
"HULS69","","13/10/15","13/10/15","7760.01","yes","6689.66","0","0","0","16","0","0","79063","00000022","838","0","0","0"
"HULS69","","13/10/15","13/10/15","19240","yes","16586.21","0","0","0","16","0","0","74724","00000023","839","0","0","0"
"GOSA58","","14/10/15","14/10/15","52861.2","yes","45570","0","0","0","16","0","0","80069","00000024","912","0","0","0"
"OEVJ71","","14/10/15","14/10/15","2939.97","yes","2939.97","0","0","2534.4","16","0","0","74746","00000025","8797","0","0","0"
"THE7911","","14/10/15","14/10/15","145688.84","yes","125593.83","0","0","0","16","0","0","75767","00000026","31462503","0","0","0"
"RE7804","","15/10/15","15/10/15","26100","yes","22500","0","0","0","16","0","0","37212","00000027","2","0","0","0"
"HESA76","","15/10/15","15/10/15","4234","yes","3650","0","0","0","16","0","0","78642","00000028","47","0","0","0"
"FOL02","","15/10/15","15/10/15","390","yes","336.21","0","0","0","16","0","0","78649","00000029","8225","0","0","0"
"DTC02","","15/10/15","15/10/15","70964.18","yes","61176.01","0","0","0","16","0","0","75608","00000030","7719","0","0","0"
"REF07","","15/10/15","15/10/15","31370.3","yes","27043.36","0","0","0","16","0","0","39771","00000031","6065","0","0","0"
"OEVJ71","","15/10/15","15/10/15","1469.99","yes","1469.99","0","0","1267.2","16","0","0","39724","00000032","8798","0","0","0"
"DTC02","","19/10/15","19/10/15","2487.15","yes","2144.09","0","0","0","16","0","0","39581","00000033","7760","0","0","0"
"DTDSL","","19/10/15","19/10/15","647.28","yes","558","0","0","0","16","0","0","39884","00000034","1602","0","0","0"
"OEVJ71","","20/10/15","20/10/15","12396.6","yes","10686.72","0","0","0","16","0","0","39791","00000035","8795","0","0","0"
"OEVJ71","","20/10/15","20/10/15","7349.92","yes","6336.14","0","0","0","16","0","0","39797","00000036","8781-877","0","0","0"
"OEVJ71","","20/10/15","20/10/15","19164.8","yes","16521.38","0","0","0","16","0","0","39803","00000037","8790-8781-8789","0","0","0"
"VHE55","","20/10/15","20/10/15","2654.08","yes","2288","0","0","0","16","0","0","39622","00000038","29430","0","0","0"
"CEC98","","21/10/15","21/10/15","42780.61","yes","36879.84","0","0","0","16","0","0","39639","00000039","24925","0","0","0"
