"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","Numfac","Numped","Pedren","canfon"
"1","03LA10128400","295.8","200","0","yes","295.8","16","0","36465","00000051","","0","0"
"1","01LAD61224","1.5","24567","0","yes","3","16","0","36475","00000052","","0","0"
"1","01P241","75","300","0","yes","75","16","0","37212","00000027","","0","0"
"1","01CEMCAZ50","109.4825","1020","0","yes","109.4825","16","0","37356","00005368","","0","0"
"1","01CEMAGR","1948.2801","50.32","0","yes","1948.2801","16","0","37594","00005379","","0","0"
"1","01COMB34","253.2325","24","0","yes","237.0689","16","0","38212","00005369","","0","0"
"1","01COMB34","301.725","2","0","yes","253.2325","16","0","38219","00005370","","0","0"
"2","01ARE","353.45","3","0","yes","0","16","0","38219","00005370","","0","0"
"1","05CALNETD","5097.8","19","0","yes","4223.65","16","0","38262","00000144","","0","0"
"1","01BLO15","6.1207","1600","0","yes","6.1207","16","0","38402","00005371","","0","0"
"1","05TINT600","1485.53","2","0","yes","1485.53","16","0","38785","00005373","","0","0"
"2","05TINRTT1100","1768.64","6","0","yes","0","16","0","38785","00005373","","0","0"
"3","05FLOPTIN","39.15","10","0","yes","0","16","0","38785","00005373","","0","0"
"1","05CISRP500","11387.83","1","0","yes","10891.19","16","0","38809","00005374","","0","0"
"1","05LPVC12","37.61563","57","0","yes","37.6156","16","0","39581","00000033","","0","0"
"1","06COLCR","26","88","0","yes","27.48","16","0","39622","00000038","","0","0"
"1","06MAG175","10.2444","3600","0","yes","13.18","16","0","39639","00000039","","0","0"
"1","05TEEPVC4","8.70817","82","0","yes","8.7082","16","0","39644","00000040","","0","0"
"1","06MAG175","10.8889","2025","0","yes","10.2444","16","0","39652","00000045","","0","0"
"1","01C52","182.07","192","0","yes","0","16","0","39663","00000046","","0","0"
"2","01C32","110.67","384","0","yes","0","16","0","39663","00000046","","0","0"
"1","01BLO10","4.2241","300","0","yes","4.224","16","0","39724","00000032","","0","0"
"3","01KC","1224.13","1","0","yes","0","16","0","39771","00000031","","0","0"
"4","01G","117.25","30","0","yes","0","16","0","39771","00000031","","0","0"
"5","01MI","9982.76","1","0","yes","0","16","0","39771","00000031","","0","0"
"1","01CHF25","10810.35","1","0","yes","0","16","0","39771","00000031","","0","0"
"2","01BAR8","1508.62","1","0","yes","0","16","0","39771","00000031","","0","0"
"1","06MAG175","11.59098","3600","0","yes","10.8889","16","0","39790","00000049","","0","0"
"1","01BLO10","4.224","2530","0","yes","4.1379","16","0","39791","00000035","","0","0"
"1","01BLO10","4.22409","1500","0","yes","4.224","16","0","39797","00000036","","0","0"
"1","01BLO15","4.48275","1000","0","yes","4.5259","16","0","39803","00000037","","0","0"
"2","01BLO10","4.22408","2850","0","yes","4.22409","16","0","39803","00000037","","0","0"
"1","01SON20","63.76","82","0","yes","63.76","16","0","39824","00000041","","0","0"
"1","06ARP","7.79949","887.36","0","yes","2.5","16","0","39829","00000042","","0","0"
"1","03LA10128400","295.8","200","0","yes","269.2","16","0","39834","00000043","","0","0"
"1","01P241","75","300","0","yes","75","16","0","39839","00000044","","0","0"
"1","01VPP","31","18","0","yes","27","16","0","39884","00000034","","0","0"
"2","01HL","3.3","50","0","yes","0","0","0","39898","00000050","","0","0"
"1","01NG","63.45","18","0","yes","32.5","0","0","39898","00000050","","0","0"
"1","01CEMBIG","1960.72069","50","0","yes","1970.09293","16","0","50503","00002332","","0","0"
"1","03LAP101268","1010","10","0","yes","968.76","16","0","50541","00002515","","0","0"
"1","01CEMCAZ50","94.181","1020","0","yes","94.181","16","0","50586","00000222","","0","0"
"1","06SEPPP122","4.69998","7000","0","yes","5.1391","16","0","50627","00000208","","0","0"
"1","08CONSEN","4.5228","100","0","yes","4.5228","16","0","50755","00000193","","0","0"
"2","067593","7.286","100","0","yes","7.286","16","0","50755","00000193","","0","0"
"3","06300144","5.2137","60","0","yes","5.2137","16","0","50755","00000193","","0","0"
"4","06300143","5.2137","30","0","yes","5.2137","16","0","50755","00000193","","0","0"
"5","08SOQS","4.3081","100","0","yes","4.3081","16","0","50755","00000193","","0","0"
"6","08PASQ30","38.1244","36","0","yes","38.1244","16","0","50755","00000193","","0","0"
"1","08CAB12","4.021","3000","0","yes","4.021","16","0","50775","00000194","","0","0"
"1","05CALNETD","5097.7999","24","0","yes","5097.8","16","0","50806","00000195","","0","0"
"1","01ARM1543","62.9","1000","0","yes","63.32","16","0","50814","00000196","","0","0"
"2","01ARM204","64.5794","1600","0","yes","0","16","0","50814","00000196","","0","0"
"1","01CAS661","16.92","500","0","yes","17.641","16","0","50972","00000177","","0","0"
"2","01CAS651","14.1","500","0","yes","0","16","0","50972","00000177","","0","0"
"1","01VAR38","61.6675","4486","0","yes","62","16","0","50981","00000178","","0","0"
"1","01BA","35","4","0","yes","0","0","0","50993","00000179","","0","0"
