"Clacli","Fecncre","Monto","Estado","Miva","MImp2","MDes","Mcosto","Piva","Pimp2","PDes","Nummov","Nncre","Numfac","facreal","Mfondo","TipoNC","Claven","Clazon","hora","numaprfol","numcer","perapr","cladep","ocurre","numuser","observa","frem","pagada","nusercan","paga","enviado"
"ASO15","07/03/16","132892.2","no","114562.24","0","0","0","16","0","0","55829","00000001","ZI000037","F","0","no","","0","35115","","","0","10","no","0","","no","no","0","",""
"GASC76","10/03/16","110160","yes","94965.52","0","0","0","16","0","0","58045","00000002","ZI000036","F","0","no","109","0","56694","","","0","10","no","0","","no","no","0","",""
"ASO15","29/03/16","22880","yes","19724.14","0","0","0","16","0","0","54939","00000003","ZI000037","F","0","no","","0","59184","","","0","10","no","0","","no","no","0","",""
"MSL08","01/04/16","12000","yes","10344.83","0","0","0","16","0","0","56424","00000004","ZI000115","F","0","no","","0","54219","","","0","10","no","0","","no","no","0","",""
"GASC76","01/04/16","283500","yes","244396.55","0","0","0","16","0","0","56508","00000005","ZI000036","F","0","no","109","0","61402","","","0","10","no","0","","no","no","0","",""
"MSL08","04/04/16","16000","yes","13793.1","0","0","0","16","0","0","58015","00000006","ZI000115","F","0","no","","0","46778","","","0","10","no","0","","no","no","0","",""
"GASC76","04/04/16","260100","yes","224224.14","0","0","0","16","0","0","57692","00000007","ZI000036","F","0","no","109","0","59744","","","0","10","no","0","","no","no","0","",""
"MSL08","06/04/16","20000","yes","17241.38","0","0","0","16","0","0","57497","00000008","ZI000115","F","0","no","","0","40345","","","0","10","no","0","","no","no","0","",""
"GASC76","07/04/16","120360","yes","103758.62","0","0","0","16","0","0","58102","00000009","ZI000123","F","0","no","109","0","44521","","","0","10","no","0","","no","no","0","",""
"MSL08","08/04/16","12000","yes","10344.83","0","0","0","16","0","0","55308","00000010","ZI000115","F","0","no","","0","60179","","","0","10","no","0","","no","no","0","",""
"MSL08","13/04/16","12000","yes","10344.83","0","0","0","16","0","0","86697","00000011","ZI000115","F","0","no","","0","40872","","","0","10","no","0","","no","no","0","",""
"GASC76","16/04/16","385000","yes","331896.55","0","0","0","16","0","0","87717","00000012","ZI000217","F","0","no","109","0","46370","","","0","10","no","0","","no","no","0","",""
"MSL08","18/04/16","20000","yes","17241.38","0","0","0","16","0","0","87787","00000013","ZI000242","F","0","no","","0","35309","","","0","10","no","0","","no","no","0","",""
"GASC76","18/04/16","308000","yes","265517.24","0","0","0","16","0","0","87919","00000014","ZI000217","F","0","no","109","0","53457","","","0","10","no","0","","no","no","0","",""
"GASC76","19/04/16","41472","yes","35751.72","0","0","0","16","0","0","88068","00000015","ZI000036","F","0","no","109","0","40764","","","0","10","no","0","","no","no","0","",""
"MSL08","20/04/16","8000","yes","6896.55","0","0","0","16","0","0","88260","00000016","ZI000242","F","0","no","","0","41932","","","0","10","no","0","","no","no","0","",""
"MSL08","21/04/16","4800","yes","4137.93","0","0","0","16","0","0","88547","00000017","ZI000242","F","0","no","","0","41803","","","0","10","no","0","","no","no","0","",""
"MSL08","22/04/16","28000","yes","24137.93","0","0","0","16","0","0","88614","00000018","ZI000242","F","0","no","","0","30974","","","0","10","no","0","","no","no","0","",""
"GASC76","22/04/16","34800","yes","30000","0","0","0","16","0","0","88710","00000019","ZI000332","F","0","no","109","0","53030","","","0","10","no","0","","no","no","0","",""
"GASC76","25/04/16","35328","yes","30455.17","0","0","0","16","0","0","89322","00000020","ZI000036","F","0","no","109","0","41668","","","0","10","no","0","","no","no","0","",""
"GASC76","25/04/16","6144","yes","5296.55","0","0","0","16","0","0","89326","00000021","ZI000332","F","0","no","109","0","41783","","","0","10","no","0","","no","no","0","",""
"MSL08","26/04/16","11200","yes","9655.17","0","0","0","16","0","0","89967","00000022","ZI000242","F","0","no","","0","61644","","","0","10","no","0","","no","no","0","",""
"MSL08","26/04/16","20000","yes","17241.38","0","0","0","16","0","0","89972","00000023","ZI000362","F","0","no","","0","62112","","","0","10","no","0","","no","no","0","",""
"MSL08","26/04/16","800","yes","689.66","0","0","0","16","0","0","89976","00000024","ZI000363","F","0","no","","0","62163","","","0","10","no","0","","no","no","0","",""
"GASC76","27/04/16","118320","yes","102000","0","0","0","16","0","0","90187","00000025","ZI000332","F","0","no","109","0","55621","","","0","10","no","0","","no","no","0","",""
"VESR86","28/04/16","8544.8","yes","7366.21","0","0","0","16","0","0","90406","00000026","ZI000388","F","0","no","","0","48558","","","0","10","no","0","","no","no","0","",""
"GASC76","29/04/16","231000","yes","199137.93","0","0","0","16","0","0","90587","00000027","ZI000332","F","0","no","109","0","30657","","","0","10","no","0","","no","no","0","",""
"VESR86","29/04/16","2400","yes","2068.97","0","0","0","16","0","0","91049","00000028","ZI000388","F","0","no","","0","58718","","","0","10","no","0","","no","no","0","",""
"GASC76","30/04/16","41856","yes","36082.76","0","0","0","16","0","0","91149","00000029","ZI000332","F","0","no","109","0","33072","","","0","10","no","0","","no","no","0","",""
"VESR86","02/05/16","14948","yes","12886.21","0","0","0","16","0","0","91361","00000030","ZI000388","F","0","no","","0","38587","","","0","10","no","0","","no","no","0","",""
"VESR86","02/05/16","7720","yes","6655.17","0","0","0","16","0","0","91377","00000031","ZI000388","F","0","no","","0","39604","","","0","10","no","0","","no","no","0","",""
"PERC80","03/05/16","12000","yes","10344.83","0","0","0","16","0","0","91681","00000032","ZI000439","F","0","no","","0","44426","","","0","10","no","0","","no","no","0","",""
"VESR86","04/05/16","2400","yes","2068.97","0","0","0","16","0","0","92017","00000033","ZI000388","F","0","no","","0","35089","","","0","10","no","0","","no","no","0","",""
"VESR86","05/05/16","4500","no","3879.31","0","0","0","16","0","0","92339","00000034","ZI000458","F","0","no","","0","47138","","","0","10","no","0","","no","no","0","",""
"VESR86","05/05/16","2330","no","2008.62","0","0","0","16","0","0","92385","00000035","ZI000457","F","0","no","","0","47292","","","0","10","no","0","","no","no","0","",""
"VESR86","05/05/16","4500","yes","3879.31","0","0","0","16","0","0","92390","00000036","ZI000388","F","0","no","","0","47583","","","0","10","no","0","","no","no","0","",""
"VESR86","05/05/16","2330","yes","2008.62","0","0","0","16","0","0","92401","00000037","ZI000388","F","0","no","","0","47674","","","0","10","no","0","","no","no","0","",""
"GASC76","06/05/16","117740","yes","101500","0","0","0","16","0","0","92784","00000038","ZI000332","F","0","no","109","0","50006","","","0","10","no","0","","no","no","0","",""
"GASC76","09/05/16","46400","yes","40000","0","0","0","16","0","0","93389","00000039","ZI000394","F","0","no","109","0","60444","","","0","10","no","0","","no","no","0","",""
"VESR86","10/05/16","4750","yes","4094.83","0","0","0","16","0","0","93397","00000040","ZI000388","F","0","no","","0","32264","","","0","10","no","0","","no","no","0","",""
"VESR86","10/05/16","5950","no","5129.31","0","0","0","16","0","0","93455","00000041","ZI000388","F","0","no","","0","52491","","","0","10","no","0","","no","no","0","",""
"VESR86","10/05/16","7100","yes","6120.69","0","0","0","16","0","0","93490","00000042","ZI000388","F","0","no","","0","55367","","","0","10","no","0","","no","no","0","",""
"VESR86","10/05/16","540","yes","465.52","0","0","0","16","0","0","93496","00000043","ZI000388","F","0","no","","0","55508","","","0","10","no","0","","no","no","0","",""
"GASC76","11/05/16","6960","yes","6000","0","0","0","16","0","0","93807","00000044","ZI000394","F","0","no","109","0","46107","","","0","10","no","0","","no","no","0","",""
"VESR86","11/05/16","6000","yes","5172.41","0","0","0","16","0","0","94004","00000045","ZI000388","F","0","no","","0","59732","","","0","10","no","0","","no","no","0","",""
"VESR86","12/05/16","575","yes","495.69","0","0","0","16","0","0","94054","00000046","ZI000388","F","0","no","","0","34959","","","0","10","no","0","","no","no","0","",""
"GASC76","12/05/16","118320","yes","102000","0","0","0","16","0","0","94188","00000047","ZI000394","F","0","no","109","0","58612","","","0","10","no","0","","no","no","0","",""
"VESR86","13/05/16","850","yes","732.76","0","0","0","16","0","0","94197","00000048","ZI000388","F","0","no","","0","31906","","","0","10","no","0","","no","no","0","",""
"VESR86","13/05/16","950","yes","818.97","0","0","0","16","0","0","94201","00000049","ZI000388","F","0","no","","0","31977","","","0","10","no","0","","no","no","0","",""
"VESR86","14/05/16","850","yes","732.76","0","0","0","16","0","0","55599","00000050","ZI000388","F","0","no","","0","41616","","","0","10","no","0","","no","no","0","",""
"VESR86","17/05/16","2400","yes","2068.97","0","0","0","16","0","0","94727","00000051","ZI000388","F","0","no","","0","37898","","","0","10","no","0","","no","no","0","",""
"VESR86","17/05/16","10453.45","yes","9011.59","0","0","0","16","0","0","94753","00000052","ZI000388","F","0","no","","0","44088","","","0","10","no","0","","no","no","0","",""
