"Clacli","Fecncre","Monto","Estado","Miva","MImp2","MDes","Mcosto","Piva","Pimp2","PDes","Nummov","Nncre","Numfac","facreal","Mfondo","TipoNC","Claven","Clazon","hora","numaprfol","numcer","perapr","cladep","Numuser","Refori","impreso","metpagele","bancosele","cuentaele","imprcan","Tpeso","usocfdi","objimp","version"
"MRS136","30/07/19","1553.5","no","1339.22","0","0","0","16","0","0","986544","ZIDD0001","ZI019078","","0","no","10","0","52812","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"MRS136","10/08/19","1553.5","yes","1339.22","0","0","0","16","0","0","996646","ZIDD0002","ZI019078","","0","no","10","0","46245","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","27/09/19","300000","yes","258620.69","0","0","0","16","0","0","1036727","ZIDD0003","ZI020160","","0","no","10","0","66016","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","30/09/19","100000","yes","86206.9","0","0","0","16","0","0","1038628","ZIDD0004","ZI019519","","0","no","10","0","63684","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","08/10/19","30000","yes","25862.07","0","0","0","16","0","0","1034584","ZIDD0005","ZI020160","","0","no","10","0","47626","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","10/10/19","250000","yes","215517.24","0","0","0","16","0","0","1045016","ZIDD0006","ZI020594","","0","no","10","0","47849","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","18/12/19","100000","yes","86206.9","0","0","0","16","0","0","1106439","ZIDD0007","ZI019519","","0","no","10","0","66420","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","19/12/19","25000","yes","21551.72","0","0","0","16","0","0","1106912","ZIDD0008","ZI019519","","0","no","10","0","45785","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","19/12/19","10000","yes","8620.69","0","0","0","16","0","0","1106915","ZIDD0009","ZI020160","","0","no","10","0","45952","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","19/12/19","65000","yes","56034.48","0","0","0","16","0","0","1106918","ZIDD0010","ZI020594","","0","no","10","0","46019","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","26/12/19","385000","yes","331896.55","0","0","0","16","0","0","785674","ZIDD0011","ZI020594","","0","no","10","0","45607","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","26/12/19","115000","yes","99137.93","0","0","0","16","0","0","1110081","ZIDD0012","ZI020758","","0","no","10","0","45685","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","31/12/19","120000","yes","103448.28","0","0","0","16","0","0","1115073","ZIDD0013","ZI020758","","0","no","10","0","47871","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","03/01/20","100000","yes","86206.9","0","0","0","16","0","0","1117022","ZIDD0014","ZI020758","","0","no","10","0","54464","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","08/01/20","100000","yes","86206.9","0","0","0","16","0","0","1121697","ZIDD0015","ZI020758","","0","no","10","0","63734","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","18/01/20","265000","yes","228448.28","0","0","0","16","0","0","1130772","ZIDD0016","ZI020758","","0","no","10","0","46506","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","18/01/20","235000","yes","202586.21","0","0","0","16","0","0","1130775","ZIDD0017","ZI020759","","0","no","10","0","46579","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","24/01/20","65000","yes","56034.48","0","0","0","16","0","0","53880","ZIDD0018","ZI020759","","0","no","10","0","47829","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","26/06/20","100000","yes","86206.9","0","0","0","16","0","0","1316321","ZIDD0019","ZI028516","","0","no","10","0","67845","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","17/07/20","100000","yes","86206.9","0","0","0","16","0","0","1344296","ZIDD0020","ZI028516","","0","no","10","0","68693","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","31/07/20","70000","yes","60344.83","0","0","0","16","0","0","1361570","ZIDD0021","ZI028516","","0","no","10","0","64818","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"RODH66","13/08/20","10000","yes","8620.69","0","0","0","16","0","0","1375827","ZIDD0022","ZI028516","","0","no","10","0","68760","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
"NAMJ66","22/09/20","42560","no","36689.66","0","0","0","16","0","0","1417963","ZIDD0023","ZI030582","","0","no","51","0","37271","","00001000000404722550","0","10","0","","no","30-Aplicación de anticipo","","","no","0","G02-Devoluciones  descuentos o bonificaciones","",""
