"Clacli","Fecncre","Monto","Estado","Miva","MImp2","MDes","Mcosto","Piva","Pimp2","PDes","Nummov","Nncar","Numfac","facreal","Mfondo","TipoNC","Claven","Clazon","hora","numaprfol","numcer","perapr","cladep","Numuser","Refori","impreso","metpagele","bancosele","cuentaele","imprcan","Tpeso","usocfdi","periodo","mes","ano","objimp","version"
"EAGI80","09/03/16","360","yes","310.34","0","0","0","16","0","0","55685","ZINC0001","ZI000039","","0","no","","0","58989","","00001000000300171291","2015","1","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","",""
"MRS1073","02/05/16","280","yes","241.38","0","0","0","16","0","0","88182","ZINC0002","ZI000093","","0","no","","0","52132","","00001000000300171291","2015","1","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","",""
"MRS1073","02/05/16","140","yes","120.69","0","0","0","16","0","0","88192","ZINC0003","ZI000093","","0","no","","0","52738","","00001000000300171291","2015","1","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","",""
"MRS1896","20/04/16","120","yes","103.45","0","0","0","16","0","0","88231","ZINC0004","ZI000075","","0","no","","0","34238","","00001000000300171291","2015","1","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","",""
"EAGI80","02/05/16","515.82","yes","444.67","0","0","0","16","0","0","91395","ZINC0005","ZI000120","","0","no","","0","44204","","00001000000300171291","2015","1","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","",""
"HEMF74","02/05/16","905.48","yes","780.59","0","0","0","16","0","0","91398","ZINC0006","ZI000184","","0","no","","0","44372","","00001000000300171291","2015","1","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","",""
"MERG68","02/05/16","2550","yes","2198.28","0","0","0","16","0","0","91401","ZINC0007","ZI000111","","0","no","","0","44468","","00001000000300171291","2015","1","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","",""
"HEGI83","19/05/16","3426","yes","2953.45","0","0","0","16","0","0","95371","ZINC0008","ZI000046","","0","no","","0","47583","","00001000000300171291","2015","1","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","",""
"HEGI83","19/05/16","3560.6","yes","3069.48","0","0","0","16","0","0","95374","ZINC0009","ZI000046","","0","no","","0","47632","","00001000000300171291","2015","1","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","",""
"AHU01","15/06/16","400","yes","344.83","0","0","0","16","0","0","104112","ZINC0010","ZI000652","","0","no","","0","36094","","00001000000300171291","2015","1","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","",""
"TGC07","16/06/16","800","yes","689.66","0","0","0","16","0","0","104656","ZINC0011","ZI000858","","0","no","","0","50326","","00001000000300171291","2015","1","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","",""
"AHU01","30/06/16","700","yes","603.45","0","0","0","16","0","0","109031","ZINC0012","ZI001054","","0","no","","0","52983","","00001000000300171291","2015","1","0","","no","No Identificado","No Aplica","No Aplica","no","0","","","","","",""
"EAGI80","19/08/16","21899.8","yes","18879.14","0","0","0","16","0","0","127014","ZINC0013","ZI000039","","0","no","","0","38895","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"ZI0001","20/08/16","13420","yes","11568.97","0","0","0","16","0","0","127886","ZINC0014","ZI001762","","0","no","","0","53566","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"RDM13","24/08/16","480","yes","413.79","0","0","0","16","0","0","129433","ZINC0015","ZI001959","","0","no","","0","50335","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"SCS04","24/08/16","120","yes","103.45","0","0","0","16","0","0","129453","ZINC0016","ZI001742","","0","no","","0","52861","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"DDI12","02/09/16","2200","no","1896.55","0","0","0","16","0","0","134083","ZINC0017","ZI001883","","0","no","","0","50712","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"DDI12","07/09/16","1200","yes","1034.48","0","0","0","16","0","0","136577","ZINC0018","ZI001883","","0","no","","0","39211","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"DDI12V","18/10/16","3200","yes","2758.62","0","0","0","16","0","0","158596","ZINC0019","ZI002877","","0","no","","0","51968","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"MRS1850","27/10/16","70","yes","60.34","0","0","0","16","0","0","164810","ZINC0020","ZI002518","","0","no","","0","57590","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"MRS1850","05/11/16","20","yes","17.24","0","0","0","16","0","0","170971","ZINC0021","ZI003088","","0","no","","0","54009","","00001000000300171291","2015","1","0","","yes","99-Otros","","","no","0","","","","","",""
"HEGI83","16/11/16","6390.4","yes","5508.97","0","0","0","16","0","0","178160","ZINC0022","ZI003284","","0","no","","0","45961","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"SIGR76","17/11/16","1050","yes","905.17","0","0","0","16","0","0","178605","ZINC0023","ZI003741","","0","no","","0","41012","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"AHU01","06/12/16","24108.8","yes","20783.45","0","0","0","16","0","0","187239","ZINC0024","ZI003419","","0","no","","0","42235","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"AHU01","06/12/16","40","yes","34.48","0","0","0","16","0","0","187256","ZINC0025","ZI003093","","0","no","","0","42334","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"AHU01","06/12/16","227.5","yes","196.12","0","0","0","16","0","0","187259","ZINC0026","ZI003414","","0","no","","0","42375","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"AHU01","06/12/16","200","yes","172.41","0","0","0","16","0","0","187262","ZINC0027","ZI003875","","0","no","","0","42404","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
"HEGI83","14/12/16","6654","yes","5736.21","0","0","0","16","0","0","192744","ZINC0028","ZI003522","","0","no","","0","41919","","00001000000300171291","2015","1","0","","no","99-Otros","","","no","0","","","","","",""
