Claart,Fecncre,Cant,Clacli,Clatipcli
03PERC050,31/08/20,2.8,MRS2043,0
03VCUA12,31/08/20,15.6,MRS2043,0
04HBISL3,31/08/20,6.0,MRS2043,0
06PIJ834,31/08/20,200.0,MRS2043,0
01CEMCAZ50,07/04/16,300.0,API14,0
01CEMCAZ50,07/04/16,360.0,API14,0
01CEMCAZ50,07/04/16,50.0,API14,0
01CEMCAZ50,07/04/16,400.0,API14,0
01ARM124,18/06/18,26.0,PSP14,0
01MALSOL6,18/06/18,400.0,PSP14,0
01VAR38,18/06/18,25.0,PSP14,0
01ARM124,18/06/18,4.0,PSP14,0
01VAR38,18/06/18,6.0,PSP14,0
01CEMCAZ50,07/04/16,300.0,API14,0
01CEMCAZ50,07/04/16,60.0,API14,0
01CEMCAZ50,07/04/16,60.0,API14,0
05ADAPHPK12,28/08/20,21.0,MRS2043,0
03POL1214,27/08/20,192.0,PTE18,0
03POL56,27/08/20,66.0,PTE18,0
03VRED34,27/08/20,13.6,PTE18,0
04HDD412,27/08/20,2.0,PTE18,0
04HDDC412,27/08/20,2.0,PTE18,0
04HSO1818,27/08/20,5.0,PTE18,0
01EST1520,27/08/20,21.8,MRS2043,0
01CEMCAZ50,09/04/16,360.0,API14,0
01CEMCAZ50,09/04/16,360.0,API14,0
01ALAM,04/05/16,100.0,JME00,0
01ARM1538,04/05/16,48.0,JME00,0
01ARM204,04/05/16,90.0,JME00,0
01VAR112,04/05/16,40.0,JME00,0
01VAR38,04/05/16,670.0,JME00,0
04HPIM,20/05/16,500.0,SES08,0
01CEMCAZ50,07/06/16,1.0,RACG68,3
05LAVB,11/06/16,2.0,SES08,0
0649174,11/06/16,1.0,SES08,0
03PC10018,02/07/16,540.0,RODH66,6
01CEMCAZ50,18/07/16,80.0,MRS40006,0
01VAR112,18/07/16,5.0,MRS40006,0
06CLA212,18/07/16,25.0,MRS40006,0
01ALREC,18/07/16,71.4,MRS40006,0
01VAR112,18/07/16,5.0,MRS40006,0
01VAR38,18/07/16,20.0,MRS40006,0
01CEMBIG,18/07/16,4.0,MRS40006,0
01CEMCAZ50,18/07/16,40.0,MRS40006,0
03POL46,24/08/16,60.0,SPL96,1
03POL56,24/08/16,440.0,SPL96,1
01ALREC,06/09/16,2.0,RODH66,6
01BLO10,06/09/16,24.0,RODH66,6
01CEMCAZ50,06/09/16,4.0,RODH66,6
01CEMMCA50,06/09/16,8.0,RODH66,6
01ALREC,06/09/16,1.0,RODH66,6
01CEMCAZ50,06/09/16,3.0,RODH66,6
01MALSOL10,06/09/16,7.5,RODH66,6
01ARM124,06/09/16,10.0,RODH66,6
01CEMCAZ50,06/09/16,3.0,RODH66,6
01BLO12,06/09/16,200.0,RODH66,6
01ALAM,10/09/16,423.0,JURF73,0
01CAL,10/09/16,50.0,JURF73,0
01CEMCAZ50,10/09/16,300.0,JURF73,0
01VAR38,10/09/16,100.0,JURF73,0
01CEMCAZ50,10/09/16,250.0,JURF73,0
01MALSOL10,10/09/16,100.0,JURF73,0
01VAR112,10/09/16,2.0,JURF73,0
01VAR38,10/09/16,100.0,JURF73,0
01ALAM,10/09/16,80.0,JURF73,0
01ALREC,10/09/16,50.0,JURF73,0
01CAL,10/09/16,25.0,JURF73,0
06CLA212,10/09/16,25.0,JURF73,0
01ALAM,10/09/16,40.0,JURF73,0
01ALREC,10/09/16,30.0,JURF73,0
01BLO15,10/09/16,500.0,JURF73,0
01CAL,10/09/16,15.0,JURF73,0
01CEMCAZ50,10/09/16,280.0,JURF73,0
01MALSOL10,10/09/16,80.0,JURF73,0
01VAR112,10/09/16,3.0,JURF73,0
01VAR38,10/09/16,60.0,JURF73,0
06CLA212,10/09/16,15.0,JURF73,0
01LAD,10/09/16,4500.0,JURF73,0
01ALAM,10/09/16,50.0,JURF73,0
01ALREC,10/09/16,20.0,JURF73,0
01CEMCAZ50,10/09/16,25.0,JURF73,0
01LAD,10/09/16,1500.0,JURF73,0
01VAR38,10/09/16,15.0,JURF73,0
06CLA212,10/09/16,6.0,JURF73,0
01ALREC,10/09/16,100.0,JURF73,0
01CEMCAZ50,10/09/16,70.0,JURF73,0
01SON30,10/09/16,16.0,JURF73,0
01VAR112,10/09/16,6.0,JURF73,0
01VAR34,10/09/16,50.0,JURF73,0
01VAR38,10/09/16,110.0,JURF73,0
01ALREC,03/10/16,209.8,MRS2043,0
05VALER112,03/10/16,1.0,MRS2043,0
05VALER2,03/10/16,1.0,MRS2043,0
01PW3000,10/10/16,1.0,MRS2043,0
01VAR112,14/10/16,50.0,GOAP79,0
06POLH2,21/10/16,500.0,HEMF74,0
05ADAPMPH12,21/10/16,20.0,ZUTL81,1
01CEMCAZ50,28/10/16,80.0,JURF73,0
08POL12,27/10/16,100.0,LOOA941,0
01CEMCAZ50,04/11/16,6.0,RODH66,6
01CAL,05/11/16,100.0,SPL96,1
01VAR112,16/11/16,4.0,MAR03,1
01VAR34,16/11/16,6.0,MAR03,1
03PL31058,25/11/16,360.0,OEMI,1
03S126,25/11/16,188.0,OEMI,1
03TC1414,25/11/16,6.0,OEMI,1
03PTR11211,14/12/16,114.0,JURF73,0
03PTR210,14/12/16,58.0,JURF73,0
01CEMCAZ50,02/01/17,50.0,TAC1503,0
01CEMCAZ50,02/01/17,50.0,TAC1503,0
01VAR38,02/01/17,20.0,TAC1503,0
01CEMCAZ50,02/01/17,100.0,TAC1503,0
01VAR38,02/01/17,20.0,TAC1503,0
MATV,02/01/17,1.0,BARA74,0
01CEMBIG,16/01/17,8.0,DDI12V,0
0619372,15/02/17,2.0,RME15,0
01CAL,18/02/17,2.0,01INECMEC,0
01ALREC,27/02/17,30.0,MRS4000,0
01CEMCAZ50,27/02/17,60.0,MRS4000,0
01EST123,27/02/17,54.4,MRS4000,0
01EST1515,27/02/17,17.6,MRS4000,0
01VAR38,27/02/17,50.0,MRS4000,0
01YEM,27/02/17,20.0,MRS4000,0
01CEMCAZ50,27/02/17,20.0,MRS4000,0
06CONCR,10/03/17,13.0,OSC11,0
01BLO15,22/03/17,700.0,MRS2043,0
GTRAS,22/03/17,1.0,MRS2043,0
01CEMBC,24/03/17,6.0,OIOA63,9
03LA10126500,06/04/17,20.0,AATF77,14
03LG41026,06/04/17,2.0,AATF77,14
01CEMBIG,07/04/17,2.0,GOA14,0
01ES,02/05/17,2.0,PED02,0
01CEMBIG,04/05/17,2.0,HERV82,0
01ARM204,04/05/17,1.0,MRS4000,0
01BAB1030,04/05/17,550.0,MRS4000,0
01ARM204,04/05/17,1.0,MRS4000,0
01YEM,04/05/17,20.0,MRS4000,0
01CAL,04/05/17,60.0,MRS4000,0
01ALREC,04/05/17,61.4,MRS4000,0
01EST123,04/05/17,2.0,MRS4000,0
01YEM,04/05/17,37.0,MRS4000,0
05ELECT5,26/05/17,1.0,GAMJ82PERSONAL,0
04HDDCM7,30/06/17,1.0,MRS1165,0
03TC401,05/08/17,12.0,PMA94,0
05TUBGALV522,05/08/17,1.0,ROAJ771,0
01CEMBIG,08/08/17,4.0,MRS409,9
03ANG3163,29/07/17,35.0,BAHF81,0
03TM181,29/07/17,4.4,BAHF81,0
03TM18114,29/07/17,5.6,BAHF81,0
03POL36,02/08/17,30.4,MRS2043,0
03TM1834,10/08/17,6.4,MRS2043,0
01YEM,22/07/17,3.0,MRS4000,0
PAQAR,22/07/17,71.2,MRS4000,0
01BAB1030,22/07/17,219.0,MRS4000,0
06ESPEXP,16/08/17,2.0,HETC670,0
01ARM204,16/08/17,5.0,MRS2043,0
01TAR,19/08/17,2.0,LOLG72,0
01VAR58,23/08/17,4.0,JURF73,0
CORT,23/08/17,16.0,JURF73,0
03POL66,23/08/17,2250.0,JURF73,0
03PTR11212,23/08/17,1017.5,JURF73,0
03PTR211,23/08/17,902.4,JURF73,0
03VRED12,23/08/17,180.0,JURF73,0
03ANG144,23/08/17,124.0,JURF73,0
03POL66,23/08/17,1200.0,JURF73,0
03PTR11212,23/08/17,684.5,JURF73,0
03PTR211,23/08/17,423.0,JURF73,0
03VRED12,23/08/17,66.0,JURF73,0
03POL66,23/08/17,1300.0,JURF73,0
03PTR11212,23/08/17,1017.5,JURF73,0
03PTR211,23/08/17,902.4,JURF73,0
03VRED12,23/08/17,180.0,JURF73,0
03TAB3Z,30/08/17,12.0,MRS2043,0
03101AL20Z,30/08/17,7.4,MRS2043,0
03103TS20Z,30/08/17,4.2,MRS2043,0
03121CH20Z,30/08/17,8.0,MRS2043,0
03122ES20Z,30/08/17,3.8,MRS2043,0
03154JUN20Z,30/08/17,3.6,MRS2043,0
03M22520Z,30/08/17,7.6,MRS2043,0
03PP10020Z,30/08/17,8.0,MRS2043,0
03PZ12418,30/08/17,4.2,MRS2043,0
03TAB3Z,30/08/17,12.0,MRS2043,0
03VCUA38,30/08/17,30.8,MRS2043,0
01CEMBIG,05/09/17,2.0,CARA65,0
03PTR4414,18/09/17,109.2,GIFE88,1
01CEMCAZ50,25/09/17,50.0,MRS409,9
08CAJO4R,02/10/17,6.0,GAMJ82PERSONAL,0
08POL12,02/10/17,50.0,GAMJ82PERSONAL,0
06CLA212,03/11/17,6.0,GIFE88,1
05TUBGALV522,09/10/17,1.7,FUBE7112,0
05TUBGALV522,09/10/17,5.0,FUBE7112,0
06LI812UR,09/10/17,2.0,RME15,0
06POLH12,10/10/17,400.0,MRS2043,0
060013,10/10/17,19.0,JURF73,0
04HCEP,13/10/17,1.0,MEGA89,0
01COMB34,14/10/17,1.98,IMI94,0
06TAPP212,17/10/17,27.0,MRS2043,0
01COMB34,18/10/17,2.02,IMI94,0
01ARE,19/10/17,0.83,MESO8,0
01CEMCAZ50,19/10/17,2.0,MESO8,0
03POL46,19/10/17,20.0,MRS2043,0
01ARE,25/10/17,0.17,MESO8,0
01ARM12204,10/11/17,10.0,GIFE88,1
01CEMCAZ50,10/11/17,15.0,GIFE88,1
01CEMCAZ50,27/11/17,570.0,TELESECUNDARIA,0
01VAR1,27/11/17,38.0,TELESECUNDARIA,0
01VAR112,27/11/17,159.0,TELESECUNDARIA,0
01VAR34,27/11/17,40.0,TELESECUNDARIA,0
01VAR38,27/11/17,423.0,TELESECUNDARIA,0
01LAMC,27/11/17,100.0,TELESECUNDARIA,0
01ALREC,27/11/17,100.0,TELESECUNDARIA,0
01VAR1,27/11/17,32.0,TELESECUNDARIA,0
01VAR112,27/11/17,46.0,TELESECUNDARIA,0
01VAR34,27/11/17,55.0,TELESECUNDARIA,0
01VAR38,27/11/17,1244.0,TELESECUNDARIA,0
01VAR58,27/11/17,37.0,TELESECUNDARIA,0
01VAR1,27/11/17,65.0,TELESECUNDARIA,0
01ALREC,27/11/17,100.0,TELESECUNDARIA,0
01ALAM,27/11/17,100.0,TELESECUNDARIA,0
01ALREC,27/11/17,100.0,TELESECUNDARIA,0
03SOL31634,28/11/17,18.0,CAGJ75,0
01BLO15,29/11/17,1000.0,JIPJ7403,0
04HPAL,29/11/17,2.0,MRS2043,0
SRV22,06/12/17,1.0,MGN85,0
06VC0702,11/12/17,2.0,MRS2043,0
01ESTUCCL,11/12/17,5.0,MRS2043,0
06BRF116,11/12/17,15.0,DCA040,0
06BRF14,11/12/17,15.0,DCA040,0
06BRF18,11/12/17,15.0,DCA040,0
06BRF316,11/12/17,15.0,DCA040,0
06BRF332,11/12/17,15.0,DCA040,0
06BRF532,11/12/17,15.0,DCA040,0
06BRF564,11/12/17,15.0,DCA040,0
06BRF732,11/12/17,15.0,DCA040,0
06BRF764,11/12/17,15.0,DCA040,0
06BRF964,11/12/17,15.0,DCA040,0
06TC411,11/12/17,15.0,DCA040,0
0611529,12/12/17,1.0,MRS2043,0
01BLO15,13/12/17,100.0,GIFE88,1
01CEMCAZ50,13/12/17,20.0,GIFE88,1
03SOL3162,13/12/17,19.3,FORA47,1
01ALAM,16/12/17,200.0,TAC1503,0
01CEMCAZ50,16/12/17,150.0,ZUTL81,1
06CLA1,18/12/17,0.1,MRS2043,0
