Claart,Descripción,Existencia,Stock Minimo,Stock Maximo,Stock de Seguridad
01ACC,Acelerante concreto,394.0,84.0,168.0,14.0
01ADN,Adoquin Natural 6x10x20,991.0,350.0,700.0,150.0
01BAB1030,Barroblk 10x30x30 3agujeros,10628.0,1402.625,2805.25,601.125
01TES,Teja esparta 38 cm,997.0,805.0,1610.0,345.0
01ALAM,Alambron,5687.914,0.0,0.0,0.0
01VAR112,Varilla corr 1/2 x 12m,388.0,0.0,0.0,0.0
06CLA112,Clavo 1 1/2,177.485,0.0,0.0,0.0
06CLA3,Clavo 3,476.105,0.0,0.0,0.0
06CLAC1,Clavo concreto 1,153.425,0.0,0.0,0.0
06CLAC112,Clavo concreto 1 1/2,197.84,0.0,0.0,0.0
06CLAC2,Clavo concreto 2,703.895,0.0,0.0,0.0
06CLAC212,Clavo concreto 2 1/2,1152.071,0.0,0.0,0.0
06MACI1015,Malla ciclonica 10.5x1.50 m,10.7,0.0,0.0,0.0
01ALREC,Alambre recocido,7111.674,462.816,925.632,77.136
06ALPN34,Alambre puas 34 kg Novillo,41.0,27.0,54.0,4.5
06APH360,Alambre Puas Huasteco C15.5 360 ml,21.0,18.0,36.0,3.0
01ARCRI,Arena Cribada en Costal,77.0,8.166666666666668,16.333333333333336,3.5
01ARE,Arena #5,53.0,14.205882352941176,28.41176470588235,6.088235294117647
01ARE4,Arena no. 4,6.0,7.0,14.0,3.0
01ARECOS,Arena en costal,1.5,3.5,7.0,1.5
01BLO10,Block 10x20x40,378.0,721.9333333333334,1443.8666666666668,309.40000000000003
01BLO12,Block 12x20x40,489.0,1155.0,2310.0,495.0
01BLO15,Block 15x20x40,2112.0,5355.0,10710.0,2295.0
01CEMB,Cemento blanco 25 kgs,188.0,12.25,24.5,5.25
01COMB34,Combinado 3/4,69.502,17.230769230769234,34.46153846153847,7.384615384615385
01COMCOSTAL,Combinado en Costal,13.5,13.125,26.25,5.625
01GTRB,Grava 3/4,62.0,15.75,31.5,6.75
01MPT,Multiplast 40kg,42.0,12.25,24.5,5.25
01PIED,Piedra,16.0,21.0,42.0,9.0
01ARM12204,Armex 12x20x4,577.0,48.0,96.0,8.0
01ARM1538,Armex 15x20x4v3/8,8.5,76.0909090909091,152.1818181818182,12.681818181818182
01EST1515,Estribo 15x15(10x10),1150.1,234.8,469.6,39.13333333333333
01EST1520,Estribo 15x20(10x15),2285.04,319.35,638.7,53.225
01EST1525,Estribo 15x25(10x20),4480.62,290.208,580.416,48.368
01EST1530,Estribo 15x30(10x25),1977.48,246.2181818181818,492.4363636363636,41.03636363636363
01VAR112R,Varilla corr 1/2 x 12m Recta,1064.0,150.0,300.0,25.0
01VAR1R,Varilla corr 1 x 12m Recta,129.0,39.0,78.0,6.5
01VAR58R,Varilla corr 5/8 x 12m Recta,619.0,112.0,224.0,18.666666666666668
06ALAG16,Alambre galv c16,114.0,24.0,48.0,4.0
06ALAPJ34,Alambre puas jumbo 34kg,80.0,28.0,56.0,4.666666666666667
06CLA1,Clavo 1,93.95,1.7999999999999998,3.5999999999999996,0.3
06CLA2,Clavo 2,1026.85,9.899999999999999,19.799999999999997,1.65
06CLA212,Clavo 2 1/2,1028.613,146.33076923076922,292.66153846153844,24.388461538461538
06CLA4,Clavo 4,1692.384,35.18181818181818,70.36363636363636,5.863636363636363
06CLAP2,Clavo paraguas 2 1/2,69.695,12.0,24.0,2.0
06GRAPG,Grapa galv 1,427.72,32.25,64.5,5.375
06GRAPG114,Grapa galv 1 1/4,317.4,24.0,48.0,4.0
06MACI10175,Malla ciclonica 10.5x1.75 m,402.07,24.0,48.0,4.0
06MACI102,Malla ciclonica 10.5x2.00 m,172.0,28.5,57.0,4.75
06MACI121,Malla ciclonica 12.5x1.00 m,197.0,1440.0,2880.0,240.0
06MACI12125,Malla ciclonica 12.5x1.25 m,235.0,400.0,800.0,66.66666666666667
06MACI12150,Malla ciclonica 12.5x1.50 m,21.7,120.0,240.0,20.0
06MACI12175,Malla ciclonica 12.5x1.75 m,161.55,208.0,416.0,34.666666666666664
06MACI122,Malla ciclonica 12.5x2.00 m,65.9,888.0,1776.0,148.0
06MACRI6,Malla criba 6x6 91.5 cm,54.5,12.0,24.0,2.0
06MAG120,Malla pollera 1.20mt ab 25mm,368.4,270.0,540.0,45.0
